seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
I	20806	21263	458	*	3.94205	3.94205	Promoter	1	21566	21850	285	1	YAL064W	-303	3	303
I	32633	33336	704	*	6.52013	6.52013	Promoter	1	33448	34701	1254	1	YAL061W	-112	6	112
I	34368	34807	440	*	3.95972	3.95973	Promoter	1	35155	36303	1149	1	YAL060W	-348	3	348
I	45124	45785	662	*	10.2933	10.2933	Promoter	1	42881	45022	2142	2	YAL054C	-102	8	102
I	67616	70545	2930	*	11.1143	11.2039	Promoter	1	68716	69525	810	2	YAL039C	0	8	0
I	70599	71684	1086	*	14.5766	14.6052	Promoter	1	71786	73288	1503	1	YAL038W	-102	9	102
I	92378	92887	510	*	3.92191	3.92191	Promoter	1	92900	94486	1587	1	YAL028W	-13	3	13
I	138963	139262	300	*	1	1	Promoter	1	139152	139254	103	1	tP(UGG)A	0	0	0
I	141557	142276	720	*	14.8223	14.8223	Promoter	1	142174	143160	987	1	YAL003W	0	9	0
I	165165	166332	1168	*	7.38197	7.38197	Promoter	1	164544	165866	1323	2	YAR010C	0	6	0
I	181098	181419	322	*	2.99899	2.99899	Promoter	1	181141	181254	114	1	tL(CAA)A	0	2	0
I	189573	192106	2534	*	10.301	10.4318	Promoter	1	190193	192256	2064	1	YAR035W	0	8	0
I	210993	211292	300	*	1	1	Distal Intergenic	1	208367	208663	297	1	YAR053W	2626	0	2626
I	220134	220501	368	*	2.9894	2.9894	Promoter	1	220198	220497	300	1	YAR064W	0	2	0
II	1	320	320	*	4.95457	4.95457	Promoter	2	646	1128	483	1	YBL113W-A	-326	4	326
II	3838	4137	300	*	1	1.00001	Exon (YBL111C_mRNA/YBL111C, exon 2 of 2)	2	2907	5009	2103	2	YBL111C	872	0	872
II	5265	6494	1230	*	13.8528	13.8528	Promoter	2	5790	6125	336	1	YBL109W	0	9	0
II	28644	29105	462	*	3.92582	3.92582	Promoter	2	28427	28546	120	1	YBL100W-C	217	3	217
II	36192	36899	708	*	8.67289	8.67289	Promoter	2	36398	36488	91	1	tF(GAA)B	0	7	0
II	44865	45626	762	*	5.50003	5.50003	Promoter	2	44256	44918	663	2	YBL093C	0	5	0
II	60637	61272	636	*	5.82671	5.82671	Promoter	2	59822	60739	918	2	YBL087C	0	5	0
II	89617	90050	434	*	3.95838	3.95838	Promoter	2	89978	90226	249	1	YBL071W-A	0	3	0
II	101105	101562	458	*	9.90366	9.90366	Promoter	2	100371	101156	786	2	YBL064C	0	8	0
II	116936	117533	598	*	2.8347	2.8347	Promoter	2	117589	119166	1578	1	YBL054W	-56	1	56
II	135514	136579	1066	*	8.77241	8.77241	Promoter	2	135998	136366	369	1	YBL044W	0	7	0
II	140166	141311	1146	*	8.90907	8.90907	Promoter	2	141247	141972	726	1	YBL041W	0	7	0
II	159588	160173	586	*	9.56899	9.56899	Promoter	2	158656	159693	1038	2	YBL033C	0	8	0
II	164002	165813	1812	*	12.5126	12.767	Promoter	2	164488	164772	285	2	YBL029C-A	0	9	0
II	167765	168324	560	*	7.71338	7.71338	Promoter	2	167518	167838	321	2	YBL028C	0	7	0
II	191687	191986	300	*	1	1	Promoter	2	186844	191583	4740	2	YBL017C	-104	0	104
II	193407	194052	646	*	8.46878	8.46878	Promoter	2	194122	195702	1581	1	YBL015W	-70	7	70
II	197383	197814	432	*	3.96383	3.96383	Promoter	2	197629	197699	71	2	tG(GCC)B	0	3	0
II	201724	202603	880	*	1.34707	1.35346	Promoter	2	202056	203261	1206	1	YBL013W	0	0	0
II	202983	203520	538	*	3.90739	3.92635	Promoter	2	203538	205817	2280	1	YBL011W	-18	3	18
II	221227	222274	1048	*	3.80602	3.80602	Promoter	2	221330	222652	1323	1	YBL005W-A	0	2	0
II	226979	227278	300	*	1	1	Promoter	2	227075	227156	82	1	tS(AGA)B	0	0	0
II	235918	236391	474	*	2.93147	2.93147	Promoter	2	236492	236887	396	1	YBL002W	-101	1	101
II	251139	251438	300	*	1	1	Promoter	2	248806	251016	2211	2	YBR007C	-123	0	123
II	255744	256339	596	*	6.55139	6.55139	Promoter	2	256331	256741	411	1	YBR010W	0	6	0
II	259857	260496	640	*	3.57113	3.57113	Promoter	2	259869	261191	1323	1	YBR012W-A	0	2	0
II	269915	270282	368	*	1.98757	1.98757	Promoter	2	270247	270633	387	1	YBR016W	0	1	0
II	332380	332713	334	*	2.99679	2.99679	Promoter	2	332831	333812	982	1	YBR048W	-118	2	118
II	336903	337314	412	*	5.96204	5.96204	Promoter	2	334386	336818	2433	2	YBR049C	-85	5	85
II	341044	342595	1552	*	6.42379	6.42379	Promoter	2	339675	340751	1077	2	YBR053C	-293	6	293
II	350723	351056	334	*	2.99712	2.99712	Promoter	2	350827	350898	72	1	tQ(UUG)B	0	2	0
II	370635	371908	1274	*	3.24643	3.24643	Promoter	2	370037	370699	663	2	YBR066C	0	2	0
II	372995	373576	582	*	6.76937	6.76937	Promoter	2	372103	372735	633	2	YBR067C	-260	6	260
II	375721	376568	848	*	13.3111	13.3111	Promoter	2	373861	375690	1830	2	YBR068C	-31	9	31
II	378577	379108	532	*	3.85012	3.85012	Promoter	2	376574	378433	1860	2	YBR069C	-144	3	144
II	381227	381728	502	*	3.84112	3.84112	Promoter	2	382030	382674	645	1	YBR072W	-302	3	302
II	392267	392934	668	*	10.8187	10.8463	Promoter	2	391805	392293	489	2	YBR077C	0	8	0
II	405803	406188	386	*	2.98293	2.98309	Promoter	2	405960	406031	72	1	tD(GUC)B	0	2	0
II	407149	407594	446	*	4.95083	4.95129	Promoter	2	406628	407169	542	2	YBR082C	0	4	0
II	408351	409136	786	*	6.59057	6.59075	Promoter	2	409169	410629	1461	1	YBR083W	-33	6	33
II	415343	415872	530	*	2.88838	2.88838	Promoter	2	414186	415261	1076	2	YBR084C-A	-82	1	82
II	419166	420091	926	*	6.72179	6.72179	Promoter	2	418907	419164	258	2	YBR085C-A	-2	6	2
II	426810	427251	442	*	3.95571	3.95571	Promoter	2	426333	427058	726	2	YBR090C	0	3	0
II	452014	452683	670	*	12.2671	12.2671	Promoter	2	452658	453224	567	1	YBR106W	0	9	0
