seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
I	12909	13476	568	*	8.74798	8.74798	Intron (Y74C9A.2.3/Y74C9A.2, intron 2 of 3)	1	10413	16842	6430	1	Y74C9A.2	2496	7	2496
I	14818	15337	520	*	4.9056	4.9056	Exon (Y74C9A.2.3/Y74C9A.2, exon 3 of 4)	1	10413	16842	6430	1	Y74C9A.2	4405	3	4405
I	30186	30485	300	*	1	1	Exon (Y74C9A.5.2/Y74C9A.5, exon 3 of 5)	1	31523	31543	21	1	Y74C9A.7	-1038	0	1038
I	33578	34107	530	*	5.84538	5.85484	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-1096	5	1096
I	34706	35861	1156	*	12.552	12.552	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-2224	9	2224
I	37895	38458	564	*	3.81926	3.81926	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-5275	2	5275
I	39725	40090	366	*	1.9883	1.9883	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-3643	0	3643
I	41834	42445	612	*	7.7633	7.84448	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-1288	6	1288
I	42808	43313	506	*	7.80621	7.89522	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-420	7	420
I	45040	45339	300	*	1	1	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	1307	0	1307
I	56103	57668	1566	*	6.31626	6.40386	Exon (Y48G1C.5/Y48G1C.5, exon 7 of 12)	1	49919	54426	4508	1	Y48G1C.4	6184	5	6184
I	61767	62162	396	*	2.97941	2.97941	Exon (Y48G1C.5/Y48G1C.5, exon 5 of 12)	1	55316	64021	8706	2	Y48G1C.5	1859	1	1859
I	66829	67326	498	*	4.87607	5.00327	Distal Intergenic	1	55316	64021	8706	2	Y48G1C.5	-2808	4	2808
I	67625	68032	408	*	3.95789	4.16083	Distal Intergenic	1	55316	64021	8706	2	Y48G1C.5	-3604	3	3604
I	69722	70449	728	*	6.37028	6.37028	Distal Intergenic	1	71858	81071	9214	1	Y48G1C.2	-1409	5	1409
I	85803	86724	922	*	8.94021	8.94021	Promoter	1	84990	86284	1295	2	Y48G1C.6	0	7	0
I	93449	93996	548	*	7.68659	7.68659	Exon (Y48G1C.1/Y48G1C.1, exon 2 of 6)	1	93031	94881	1851	1	Y48G1C.1	418	6	418
I	96370	96869	500	*	5.87457	5.87457	3' UTR	1	94958	95367	410	2	Y48G1C.13	-1003	5	1003
I	98738	99037	300	*	1	1	Exon (Y48G1C.7/Y48G1C.7, exon 5 of 7)	1	96479	101733	5255	2	Y48G1C.7	2696	0	2696
I	108189	109754	1566	*	12.088	12.294	Promoter	1	101213	108161	6949	2	Y48G1C.8	-28	9	28
I	110490	110973	484	*	2.92836	2.93282	Promoter	1	110576	110724	149	1	F53G12.15	0	1	0
I	111686	113195	1510	*	4.87963	4.94795	Promoter	1	112383	113672	1290	1	F53G12.13	0	4	0
I	116311	117782	1472	*	15.144	15.144	Promoter	1	118104	120870	2767	1	F53G12.6	-322	9	322
I	119436	121737	2302	*	7.23784	7.24165	Exon (F53G12.6/F53G12.6, exon 3 of 7)	1	118104	120870	2767	1	F53G12.6	1332	6	1332
I	122190	122827	638	*	6.75544	6.75547	Distal Intergenic	1	118104	120870	2767	1	F53G12.6	4086	5	4086
I	124638	125089	452	*	8.87896	8.87896	Distal Intergenic	1	127297	134271	6975	1	F53G12.5	-2208	7	2208
I	128038	128853	816	*	12.0854	12.1394	5' UTR	1	127297	134271	6975	1	F53G12.5	741	9	741
I	130145	131272	1128	*	23.6791	23.7064	Intron (F53G12.5b/F53G12.5, intron 5 of 7)	1	127297	134271	6975	1	F53G12.5	2848	9	2848
I	137360	138411	1052	*	13.6329	13.6329	Promoter	1	137845	144565	6721	1	F53G12.3	0	9	0
I	141889	142988	1100	*	8.23453	8.23453	Exon (F53G12.3/F53G12.3, exon 14 of 21)	1	145236	145627	392	2	F53G12.11	2639	7	2639
I	149285	149972	688	*	4.51862	4.51866	Exon (F56C11.1/F56C11.1, exon 12 of 19)	1	145236	145627	392	2	F53G12.11	-3658	3	3658
I	150855	151598	744	*	7.19026	7.19028	Exon (F56C11.1/F56C11.1, exon 8 of 19)	1	145968	154850	8883	2	F56C11.1	3252	6	3252
I	153334	153739	406	*	2.97684	2.97684	Exon (F56C11.1/F56C11.1, exon 2 of 19)	1	145968	154850	8883	2	F56C11.1	1111	1	1111
I	155941	156332	392	*	3.97738	3.97738	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-1091	3	1091
I	159184	161046	1863	*	7.41216	7.57901	3' UTR	1	145968	154850	8883	2	F56C11.1	-4334	6	4334
I	161440	161949	510	*	3.93901	4.08984	Exon (F56C11.2/F56C11.2, exon 12 of 14)	1	160172	166819	6648	2	F56C11.2	4870	3	4870
I	167842	168493	652	*	11.6167	11.6167	Distal Intergenic	1	160172	166819	6648	2	F56C11.2	-1023	8	1023
I	169662	169961	300	*	1	1.00001	Distal Intergenic	1	160172	166819	6648	2	F56C11.2	-2843	0	2843
