seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr1	15165005	15165304	300	*	1	1	0	not	0	Intron (ENST00000491547/ENSG00000189337, intron 1 of 6)	1	15018625	15019109	485	2	ENSG00000235829	-145896	NA	NA	NA	145896
chr1	19038608	19038907	300	*	1	1	0	not	0	Intron (ENST00000375375/ENSG00000009709, intron 7 of 7)	1	18957500	19075360	117861	1	ENSG00000009709	81108	5081	PAX7	paired box 7	81108
chr1	37199275	37199574	300	*	1	1	0	not	0	Distal Intergenic	1	37238741	37241369	2629	1	ENSG00000234481	-39167	NA	NA	NA	39167
chr1	230839583	230839882	300	*	1	1	1	overlapTSS	0	Intron (ENST00000366667/ENSG00000135744, intron 4 of 4)	1	230838269	230850043	11775	2	ENSG00000135744	10161	183	AGT	angiotensinogen	10161
chr10	72820741	72821040	300	*	1	1	0	not	0	Distal Intergenic	10	72698810	72715398	16589	1	ENSG00000259267	121931	105378349	LINC02622	long intergenic non-protein coding RNA 2622	121931
chr10	73379640	73379939	300	*	1	1	0	not	0	Intron (ENST00000398842/ENSG00000107736, intron 11 of 13)	10	73267910	73271630	3721	2	ENSG00000223817	-108010	102723377	CDH23-AS1	CDH23 antisense RNA 1	108010
chr10	75681118	75681417	300	*	1	1	0	not	0	Promoter (1-2kb)	10	75669727	75682535	12809	2	ENSG00000222047	1118	414236	C10orf55	chromosome 10 open reading frame 55	1118
chr11	2920896	2921195	300	*	1	1	1	overlapTSS	0	Promoter (<=1kb)	11	2920951	2946476	25526	1	ENSG00000110628	0	5002	SLC22A18	solute carrier family 22 member 18	0
chr11	75039903	75040202	300	*	1	1	0	not	0	Intron (ENST00000420843/ENSG00000137486, intron 1 of 15)	11	75046136	75046230	95	2	ENSG00000199090	6028	442900	MIR326	microRNA 326	6028
chr12	108998513	108998812	300	*	1	1	0	not	0	Distal Intergenic	12	108983622	108992096	8475	2	ENSG00000183160	-6417	338773	TMEM119	transmembrane protein 119	6417
chr12	132387638	132387937	300	*	1	1	0	not	0	Intron (ENST00000321867/ENSG00000177169, intron 3 of 27)	12	132379196	132407712	28517	1	ENSG00000177169	8442	8408	ULK1	unc-51 like autophagy activating kinase 1	8442
chr15	40399230	40399529	300	*	1	1	0	not	0	Promoter (1-2kb)	15	40380091	40401093	21003	2	ENSG00000104081	1564	90427	BMF	Bcl2 modifying factor	1564
chr16	2763035	2763334	300	*	1	1	2	overlapTSS	0	Promoter (<=1kb)	16	2763020	2763101	82	1	ENSG00000222055	15	NA	NA	NA	15
chr16	49875108	49875407	300	*	1	1	0	not	0	Intron (ENST00000563137/ENSG00000102935, intron 1 of 7)	16	49521435	49891830	370396	2	ENSG00000102935	16423	23090	ZNF423	zinc finger protein 423	16423
chr16	50430209	50430508	300	*	1	1	0	not	0	Promoter (1-2kb)	16	50424827	50429044	4218	2	ENSG00000261092	-1165	105371248	LINC02178	long intergenic non-protein coding RNA 2178	1165
chr16	89119644	89119943	300	*	1	1	0	not	0	Promoter (<=1kb)	16	89112580	89119373	6794	2	ENSG00000256982	-271	NA	NA	NA	271
chr17	47972723	47973022	300	*	1	1	0	not	0	Intron (ENST00000515692/ENSG00000248954, intron 2 of 4)	17	47964961	47978257	13297	1	ENSG00000248954	7762	NA	NA	NA	7762
chr17	72368312	72368611	300	*	1	1	0	not	0	3' UTR	17	72363546	72368761	5216	1	ENSG00000257008	4766	350383	GPR142	G protein-coupled receptor 142	4766
chr17	79975791	79976090	300	*	1	1	4	overlapTSS	0	Downstream (<1kb)	17	79981178	79989027	7850	1	ENSG00000169683	-5088	201255	LRRC45	leucine rich repeat containing 45	5088
chr19	11688762	11689061	300	*	1	1	0	not	0	Promoter (<=1kb)	19	11685475	11689823	4349	2	ENSG00000102575	762	54	ACP5	acid phosphatase 5, tartrate resistant	762
chr19	46395579	46395878	300	*	1	1	0	not	0	Intron (ENST00000322217/ENSG00000176182, intron 2 of 2)	19	46386866	46389376	2511	2	ENSG00000170604	-6203	26145	IRF2BP1	interferon regulatory factor 2 binding protein 1	6203
chr19	51282620	51282919	300	*	1	1	0	not	0	Intron (ENST00000563228/ENSG00000261341, intron 3 of 3)	19	51279398	51289467	10070	2	ENSG00000261341	6548	105372440	LOC105372440	uncharacterized LOC105372440	6548
chr19	59066563	59066862	300	*	1	1	1	overlapTSS	0	Promoter (<=1kb)	19	59062933	59066491	3559	2	ENSG00000130724	-72	27243	CHMP2A	charged multivesicular body protein 2A	72
chr2	5869432	5869731	300	*	1	1	0	not	0	Exon (ENST00000413960/ENSG00000236106, exon 2 of 2)	2	5866581	5870474	3894	1	ENSG00000236106	2851	112268411	LOC112268411	uncharacterized LOC112268411	2851
chr2	46843657	46843956	300	*	1	1	1	overlapTSS	0	Promoter (<=1kb)	2	46843555	46852881	9327	1	ENSG00000119878	102	9419	CRIPT	CXXC repeat containing interactor of PDZ3 domain	102
chr2	121568141	121568440	300	*	1	1	0	not	0	Intron (ENST00000482119/ENSG00000074047, intron 2 of 3)	2	121623953	121624978	1026	2	ENSG00000271709	56538	NA	NA	NA	56538
chr2	121890979	121891278	300	*	1	1	0	not	0	Distal Intergenic	2	121935903	121940156	4254	1	ENSG00000236145	-44625	NA	NA	NA	44625
chr2	239029596	239029895	300	*	1	1	0	not	0	Intron (ENST00000343063/ENSG00000144488, intron 5 of 8)	2	239047363	239061588	14226	1	ENSG00000168427	-17468	377007	KLHL30	kelch like family member 30	17468
chr20	60943861	60944160	300	*	1	1	0	not	0	Promoter (1-2kb)	20	60883011	60942368	59358	2	ENSG00000130702	-1493	3911	LAMA5	laminin subunit alpha 5	1493
chr20	62490063	62490362	300	*	1	1	0	not	0	Distal Intergenic	20	62492566	62494341	1776	1	ENSG00000183260	-2204	140701	ABHD16B	abhydrolase domain containing 16B	2204
chr21	34696904	34697203	300	*	1	1	4	overlapTSS	0	Promoter (<=1kb)	21	34696734	34732168	35435	1	ENSG00000142166	170	3454	IFNAR1	interferon alpha and beta receptor subunit 1	170
chr22	17670613	17670912	300	*	1	1	0	not	0	Exon (ENST00000399839/ENSG00000093072, exon 6 of 10)	22	17673826	17674198	373	1	ENSG00000236325	-2914	NA	NA	NA	2914
chr22	28053231	28053530	300	*	1	1	0	not	0	Distal Intergenic	22	28103578	28105929	2352	1	ENSG00000231495	-50048	NA	NA	NA	50048
chr22	37962368	37962667	300	*	1	1	0	not	0	Exon (ENST00000249014/ENSG00000128283, exon 2 of 3)	22	37956454	37965412	8959	1	ENSG00000128283	5914	11135	CDC42EP1	CDC42 effector protein 1	5914
