seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr16	8908134	8908819	686	*	4.71811	4.71811	0	Distal Intergenic	16	8922060	8922389	330	2	ENSMUSG00000068674	13570	NA	NA	NA	13570
chr8	9976790	9977557	768	*	5.16559	5.16559	0	Promoter (<=1kb)	8	9969049	9977686	8638	2	ENSMUSG00000049717	129	319583	Lig4	ligase IV, DNA, ATP-dependent	129
chr9	94873431	94874648	1218	*	6.15524	6.15524	0	Intron (ENSMUST00000033463/ENSMUSG00000031129, intron 6 of 15)	9	94992015	94992684	670	2	ENSMUSG00000111087	118036	NA	NA	NA	118036
chr5	113779863	113780670	808	*	6.19841	6.19841	0	Distal Intergenic	5	113772748	113778288	5541	1	ENSMUSG00000025825	7115	66383	Iscu	iron-sulfur cluster assembly enzyme	7115
chr13	18727990	18728621	632	*	6.82876	6.82876	0	Intron (ENSMUST00000222269/ENSMUSG00000041236, intron 2 of 4)	13	18717286	18866811	149526	1	ENSMUSG00000041236	10704	218035	Vps41	VPS41 HOPS complex subunit	10704
chr15	80257894	80258727	834	*	7.1072	7.1072	0	Distal Intergenic	15	80255184	80257541	2358	1	ENSMUSG00000042406	2710	11911	Atf4	activating transcription factor 4	2710
chr4	12085012	12085991	980	*	7.37592	7.39086	0	Exon (ENSMUST00000050686/ENSMUSG00000049488, exon 2 of 28)	4	12089439	12096243	6805	1	ENSMUSG00000052137	-3448	77604	Rbm12b2	RNA binding motif protein 12 B2	3448
chr5	69781773	69782688	916	*	7.45803	7.45803	0	Distal Intergenic	5	69752403	69752528	126	2	ENSMUSG00000080566	-29245	115490292	Gm26044	predicted gene, 26044	29245
chr9	27330908	27331911	1004	*	7.67636	7.67636	0	Exon (ENSMUST00000214357/ENSMUSG00000034275, exon 16 of 20)	9	27299204	27357546	58343	1	ENSMUSG00000034275	31704	235086	Igsf9b	immunoglobulin superfamily, member 9B	31704
chr14	24449691	24450562	872	*	7.73584	7.73584	0	Intron (ENSMUST00000026322/ENSMUSG00000025280, intron 30 of 30)	14	24438987	24446403	7417	2	ENSMUSG00000114575	-3288	NA	NA	NA	3288
chr5	33002753	33003672	920	*	7.74869	7.74869	0	Distal Intergenic	5	33018816	33027966	9151	1	ENSMUSG00000018965	-15144	22629	Ywhah	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	15144
chr6	133169773	133170576	804	*	7.80276	7.80276	0	Distal Intergenic	6	133191792	133191901	110	1	ENSMUSG00000095447	-21216	NA	NA	NA	21216
chr9	91354005	91354918	914	*	7.83927	7.83927	0	Distal Intergenic	9	91350214	91350953	740	2	ENSMUSG00000102406	-3052	NA	NA	NA	3052
chr1	88304072	88304863	792	*	7.92351	7.92351	0	Intron (ENSMUST00000148138/ENSMUSG00000036251, intron 2 of 5)	1	88277661	88389293	111633	1	ENSMUSG00000036251	26411	171382	Trpm8	transient receptor potential cation channel, subfamily M, member 8	26411
chr1	13706058	13706863	806	*	7.95331	7.95331	0	Distal Intergenic	1	13668771	13701723	32953	1	ENSMUSG00000067813	37287	381246	Xkr9	X-linked Kx blood group related 9	37287
chr19	43773056	43773807	752	*	8.04408	8.04408	0	Distal Intergenic	19	43782192	43840740	58549	1	ENSMUSG00000025194	-8385	12780	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	8385
chr14	106167699	106168434	736	*	8.16394	8.16394	0	Distal Intergenic	14	106211777	106211978	202	2	ENSMUSG00000115501	43544	NA	NA	NA	43544
chr3	106582530	106583461	932	*	8.23317	8.23317	0	Distal Intergenic	3	106589260	106590862	1603	1	ENSMUSG00000103053	-5799	NA	NA	NA	5799
chr9	122282204	122282949	746	*	8.24748	8.25119	0	Intron (ENSMUST00000042546/ENSMUSG00000037949, intron 1 of 12)	9	122273890	122274028	139	2	ENSMUSG00000098922	-8176	102465896	Mir8106	microRNA 8106	8176
chr12	17405774	17406501	728	*	8.40203	8.40203	0	Intron (ENSMUST00000046011/ENSMUSG00000061458, intron 16 of 20)	12	17436618	17446443	9826	1	ENSMUSG00000113246	-30117	NA	NA	NA	30117
chr1	130370914	130371867	954	*	8.4035	8.4035	0	Distal Intergenic	1	130422824	130437914	15091	1	ENSMUSG00000087691	-50957	102640368	Cd55os	CD55 molecule, opposite strand sequence	50957
chr1	182320146	182320761	616	*	8.55141	8.55141	0	Intron (ENSMUST00000051431/ENSMUSG00000047539, intron 3 of 4)	1	182313102	182341629	28528	2	ENSMUSG00000047539	20868	67948	Fbxo28	F-box protein 28	20868
chr3	22525322	22526413	1092	*	8.56835	8.56835	0	Promoter (<=1kb)	3	22525238	22526007	770	1	ENSMUSG00000103801	84	NA	NA	NA	84
chr11	87414646	87415527	882	*	8.58376	8.58376	0	Intron (ENSMUST00000060835/ENSMUSG00000010342, intron 1 of 30)	11	87422867	87423030	164	1	ENSMUSG00000095969	-7340	NA	NA	NA	7340
chr3	136954433	136955208	776	*	8.59224	8.59224	0	Promoter (<=1kb)	3	136952790	136955093	2304	2	ENSMUSG00000104617	0	NA	NA	NA	0
chr7	120948119	120949080	962	*	8.665	8.665	0	Distal Intergenic	7	120917744	120947432	29689	1	ENSMUSG00000030880	30375	26939	Polr3e	polymerase (RNA) III (DNA directed) polypeptide E	30375
chr1	184726381	184727390	1010	*	8.70021	8.70021	0	3' UTR	1	184727140	184732619	5480	2	ENSMUSG00000039377	5229	15284	Hlx	H2.0-like homeobox	5229
chr6	15918819	15919874	1056	*	8.70668	8.70668	0	Distal Intergenic	6	15836089	15837779	1691	1	ENSMUSG00000108048	82730	NA	NA	NA	82730
chr4	120820184	120821123	940	*	8.70961	8.70961	0	Intron (ENSMUST00000043429/ENSMUSG00000032897, intron 1 of 9)	4	120757438	120831572	74135	2	ENSMUSG00000032897	10449	18046	Nfyc	nuclear transcription factor-Y gamma	10449
chr4	8797672	8798523	852	*	8.74916	8.74916	0	Intron (ENSMUST00000039267/ENSMUSG00000041235, intron 3 of 37)	4	8690406	8867659	177254	1	ENSMUSG00000041235	107266	320790	Chd7	chromodomain helicase DNA binding protein 7	107266
chr7	122969063	122969910	848	*	8.75076	8.75076	0	Promoter (<=1kb)	7	122969058	122970050	993	2	ENSMUSG00000108452	140	NA	NA	NA	140
chr13	95346873	95347706	834	*	8.75684	8.75684	0	Distal Intergenic	13	95332618	95332749	132	1	ENSMUSG00000077380	14255	115485922	Gm22661	predicted gene, 22661	14255
chr15	101343874	101344727	854	*	8.80464	8.80464	0	Intron (ENSMUST00000229584/ENSMUSG00000116114, intron 1 of 4)	15	101322888	101405834	82947	1	ENSMUSG00000116114	20986	NA	NA	NA	20986
chr2	68162557	68163322	766	*	8.82159	8.82159	0	Distal Intergenic	2	68081791	68082329	539	1	ENSMUSG00000081257	80766	NA	NA	NA	80766
chr11	4993507	4994456	950	*	8.91274	8.91274	0	Intron (ENSMUST00000109897/ENSMUSG00000009090, intron 1 of 20)	11	4986824	5042791	55968	1	ENSMUSG00000009090	6683	11764	Ap1b1	adaptor protein complex AP-1, beta 1 subunit	6683
chr8	111664579	111665716	1138	*	8.95187	8.95187	0	Intron (ENSMUST00000212072/ENSMUSG00000055835, intron 2 of 3)	8	111643401	111671011	27611	1	ENSMUSG00000055835	21178	22640	Zfp1	zinc finger protein 1	21178
chr6	29630912	29631659	748	*	8.9688	8.9688	0	Distal Intergenic	6	29540827	29609887	69061	2	ENSMUSG00000012535	-21025	320938	Tnpo3	transportin 3	21025
chr1	12990048	12990739	692	*	8.9915	8.9915	0	Promoter (1-2kb)	1	12866549	12992650	126102	2	ENSMUSG00000025938	1911	240726	Slco5a1	solute carrier organic anion transporter family, member 5A1	1911
chr6	116330789	116331754	966	*	8.99732	8.99732	0	Distal Intergenic	6	116335233	116337949	2717	2	ENSMUSG00000107497	6195	NA	NA	NA	6195
chr5	6747171	6748022	852	*	9.01008	9.01008	0	Promoter (1-2kb)	5	6748892	6749457	566	2	ENSMUSG00000106532	1435	435830	Gm5714	predicted gene 5714	1435
chr11	45826363	45827092	730	*	9.02167	9.02167	0	Intron (ENSMUST00000137002/ENSMUSG00000086686, intron 1 of 3)	11	45829319	45829869	551	1	ENSMUSG00000081251	-2227	NA	NA	NA	2227
chr6	71616638	71617327	690	*	9.02737	9.02737	0	Exon (ENSMUST00000206597/ENSMUSG00000053470, exon 5 of 7)	6	71588972	71632990	44019	2	ENSMUSG00000053470	15663	104263	Kdm3a	lysine (K)-specific demethylase 3A	15663
chr11	20081579	20082310	732	*	9.11629	9.11629	0	Intron (ENSMUST00000000137/ENSMUSG00000020152, intron 4 of 8)	11	20062304	20112913	50610	2	ENSMUSG00000020152	30603	66713	Actr2	ARP2 actin-related protein 2	30603
chr5	86796945	86797728	784	*	9.18851	9.18851	0	Intron (ENSMUST00000198859/ENSMUSG00000105704, intron 2 of 4)	5	86804221	86836659	32439	1	ENSMUSG00000035851	-6493	231386	Ythdc1	YTH domain containing 1	6493
chr10	16558045	16559092	1048	*	9.22763	9.22763	0	Distal Intergenic	10	16584268	16644555	60288	1	ENSMUSG00000112929	-25176	NA	NA	NA	25176
chr1	14147436	14148169	734	*	9.2381	9.2381	0	Distal Intergenic	1	14182578	14182677	100	1	ENSMUSG00000095853	-34409	NA	NA	NA	34409
chr15	8804168	8805057	890	*	9.40829	9.40829	0	Distal Intergenic	15	8634124	8710764	76641	2	ENSMUSG00000005360	-93404	20512	Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	93404
chr9	37229689	37230530	842	*	9.46148	9.46148	0	3' UTR	9	37208223	37224700	16478	1	ENSMUSG00000032121	21466	66279	Tmem218	transmembrane protein 218	21466
chr13	38530285	38531160	876	*	9.55876	9.55876	0	Promoter (1-2kb)	13	38500079	38528824	28746	2	ENSMUSG00000038991	-1461	105245	Txndc5	thioredoxin domain containing 5	1461
chr17	30566749	30567606	858	*	9.66022	9.66022	0	Intron (ENSMUST00000168787/ENSMUSG00000062202, intron 1 of 10)	17	30576300	30582594	6295	1	ENSMUSG00000117725	-8694	NA	NA	NA	8694
chr6	22058045	22058930	886	*	9.73619	9.73619	0	Intron (ENSMUST00000115383/ENSMUSG00000062980, intron 3 of 21)	6	21985916	22256404	270489	1	ENSMUSG00000062980	72129	214642	Cped1	cadherin-like and PC-esterase domain containing 1	72129
chr9	20352982	20354069	1088	*	9.7343	9.74617	0	Exon (ENSMUST00000068079/ENSMUSG00000045519, exon 2 of 7)	9	20312152	20336094	23943	2	ENSMUSG00000066896	-16888	18315	Olfr18	olfactory receptor 18	16888
chr13	32901600	32902489	890	*	9.75646	9.76206	0	Distal Intergenic	13	32881434	32898211	16778	2	ENSMUSG00000079049	-3389	380839	Serpinb1c	serine (or cysteine) peptidase inhibitor, clade B, member 1c	3389
chr3	122042794	122043845	1052	*	9.83821	9.83821	0	Promoter (<=1kb)	3	122044443	122180123	135681	1	ENSMUSG00000028125	-598	11304	Abca4	ATP-binding cassette, sub-family A (ABC1), member 4	598
chr13	64363930	64364779	850	*	9.84608	9.84608	0	3' UTR	13	64361343	64361737	395	2	ENSMUSG00000114072	-2193	NA	NA	NA	2193
chr5	97150377	97151322	946	*	9.853	9.853	0	Distal Intergenic	5	97143026	97149848	6823	1	ENSMUSG00000104736	7351	NA	NA	NA	7351
chr6	5284671	5285548	878	*	9.89257	9.89257	0	Intron (ENSMUST00000057792/ENSMUSG00000032667, intron 2 of 8)	6	5279655	5281480	1826	1	ENSMUSG00000107668	5016	NA	NA	NA	5016
chr16	91078940	91079657	718	*	9.93356	9.93356	0	Intron (ENSMUST00000146047/ENSMUSG00000039851, intron 1 of 1)	16	91053935	91095122	41188	2	ENSMUSG00000039851	15465	74387	4932438H23Rik	RIKEN cDNA 4932438H23 gene	15465
chr10	10322546	10323449	904	*	9.95196	9.95196	0	Distal Intergenic	10	10343115	10344327	1213	1	ENSMUSG00000083257	-19666	665110	Gm15568	eukaryotic translation initiation factor 4A1 pseudogene	19666
chr14	20081108	20081907	800	*	9.62018	9.97123	0	Intron (ENSMUST00000059666/ENSMUSG00000045107, intron 1 of 1)	14	20057852	20058297	446	2	ENSMUSG00000114498	-22811	NA	NA	NA	22811
chr14	33330746	33331511	766	*	10.0155	10.0155	0	Intron (ENSMUST00000111956/ENSMUSG00000063506, intron 4 of 10)	14	33365951	33370143	4193	2	ENSMUSG00000087639	38632	NA	NA	NA	38632
chr18	41956314	41957237	924	*	10.0469	10.0469	0	Distal Intergenic	18	41875600	41951242	75643	2	ENSMUSG00000056671	-5072	77619	Prelid2	PRELI domain containing 2	5072
chr10	5790575	5791802	1228	*	10.0715	10.072	0	Distal Intergenic	10	5799160	5805600	6441	2	ENSMUSG00000019773	13798	67141	Fbxo5	F-box protein 5	13798
chr11	21863230	21863991	762	*	10.0767	10.0767	0	Intron (ENSMUST00000020568/ENSMUSG00000020319, intron 15 of 17)	11	21877007	21877950	944	2	ENSMUSG00000084004	13959	100417142	Gm12047	myc induced nuclear antigen pseudogene	13959
chr6	48622395	48623166	772	*	10.0776	10.0776	0	Promoter (<=1kb)	6	48613973	48622357	8385	2	ENSMUSG00000107640	-38	NA	NA	NA	38
chr1	84718228	84719005	778	*	10.1014	10.1014	0	Distal Intergenic	1	84369839	84696221	326383	2	ENSMUSG00000036766	-22007	227325	Dner	delta/notch-like EGF repeat containing	22007
chr9	21673040	21673935	896	*	10.1185	10.1185	0	Exon (ENSMUST00000034707/ENSMUSG00000032187, exon 24 of 34)	9	21677913	21678096	184	1	ENSMUSG00000099192	-3978	NA	NA	NA	3978
chr2	156550847	156551836	990	*	10.1297	10.1297	0	Exon (ENSMUST00000109570/ENSMUSG00000027628, exon 3 of 5)	2	156547584	156568972	21389	1	ENSMUSG00000027628	3263	68295	Aar2	AAR2 splicing factor homolog	3263
chr15	103284511	103285260	750	*	10.1368	10.1368	0	Promoter (<=1kb)	15	103285125	103285221	97	1	ENSMUSG00000065560	0	724064	Mir148b	microRNA 148b	0
chr10	22777669	22778538	870	*	10.1481	10.1481	0	Distal Intergenic	10	22791319	22792273	955	1	ENSMUSG00000112727	-12781	100126821	Gm17794	glyceraldehyde-3-phosphate dehydrogenase pseudogene	12781
chr4	14805662	14806371	710	*	10.169	10.169	0	Distal Intergenic	4	14623620	14796060	172441	2	ENSMUSG00000023151	-9602	73314	Lrrc69	leucine rich repeat containing 69	9602
chrX	162719063	162719798	736	*	10.2027	10.2027	0	Distal Intergenic	20	162735078	162736613	1536	2	ENSMUSG00000086034	16815	102640117	Gm15201	predicted gene 15201	16815
chr13	8993471	8994316	846	*	10.2095	10.2095	0	Promoter (<=1kb)	13	8993005	8993238	234	1	ENSMUSG00000113731	466	NA	NA	NA	466
chr5	21697726	21698565	840	*	10.2145	10.2145	0	Intron (ENSMUST00000115217/ENSMUSG00000044968, intron 1 of 4)	5	21662901	21701396	38496	2	ENSMUSG00000044968	2831	242864	Napepld	N-acyl phosphatidylethanolamine phospholipase D	2831
chr12	77745011	77745704	694	*	10.2417	10.2417	0	Distal Intergenic	12	77683061	77689491	6431	1	ENSMUSG00000111903	61950	NA	NA	NA	61950
chr10	19994274	19995007	734	*	10.2873	10.2873	0	Intron (ENSMUST00000095806/ENSMUSG00000071369, intron 1 of 29)	10	19934472	20142753	208282	1	ENSMUSG00000071369	59802	26408	Map3k5	mitogen-activated protein kinase kinase kinase 5	59802
chr16	17400649	17401702	1054	*	10.2972	10.2972	0	Intron (ENSMUST00000036161/ENSMUSG00000041720, intron 1 of 54)	16	17405986	17430827	24842	1	ENSMUSG00000022765	-4284	67474	Snap29	synaptosomal-associated protein 29	4284
chr6	9092075	9092970	896	*	10.308	10.3109	0	Intron (ENSMUST00000160300/ENSMUSG00000046178, intron 2 of 2)	6	9146766	9147078	313	1	ENSMUSG00000107851	-53796	NA	NA	NA	53796
chr11	25849169	25849814	646	*	10.332	10.332	0	Exon (ENSMUST00000135168/ENSMUSG00000032985, exon 3 of 3)	11	25685140	25685269	130	1	ENSMUSG00000064761	164029	115485834	Gm23514	predicted gene, 23514	164029
chr5	24675753	24676434	682	*	10.3368	10.3368	0	Distal Intergenic	5	24685532	24710378	24847	1	ENSMUSG00000028954	-9098	53312	Nub1	negative regulator of ubiquitin-like proteins 1	9098
chr15	21311647	21312346	700	*	10.3405	10.3405	0	Intron (ENSMUST00000227496/ENSMUSG00000040452, intron 3 of 12)	15	21180157	21180577	421	1	ENSMUSG00000103296	131490	NA	NA	NA	131490
chr2	5846371	5847260	890	*	10.417	10.4241	0	Promoter (1-2kb)	2	5794294	5845164	50871	2	ENSMUSG00000039128	-1207	98828	Cdc123	cell division cycle 123	1207
chr5	70532323	70533376	1054	*	10.4457	10.4457	0	Distal Intergenic	5	70550841	70550947	107	2	ENSMUSG00000094803	17571	NA	NA	NA	17571
chr11	11820255	11821094	840	*	10.4574	10.4574	0	Intron (ENSMUST00000066237/ENSMUSG00000020182, intron 12 of 14)	11	11787431	11808962	21532	2	ENSMUSG00000035455	-11293	60530	Fignl1	fidgetin-like 1	11293
chr12	8608830	8609805	976	*	10.477	10.477	0	Distal Intergenic	12	8528483	8599066	70584	2	ENSMUSG00000020600	-9764	328059	Slc7a15	solute carrier family 7 (cationic amino acid transporter, y+ system), member 15	9764
chr2	122254571	122255160	590	*	10.4998	10.4998	0	Intron (ENSMUST00000110551/ENSMUSG00000027227, intron 4 of 8)	2	122234749	122265340	30592	1	ENSMUSG00000027227	19822	20322	Sord	sorbitol dehydrogenase	19822
chr2	132665188	132665903	716	*	10.5052	10.5052	0	Distal Intergenic	2	132662242	132662696	455	1	ENSMUSG00000081445	2946	383801	Rpl23a-ps4	ribosomal protein L23A, pseudogene 4	2946
chr14	37355642	37356421	780	*	10.5346	10.5346	0	Distal Intergenic	14	37437490	37437620	131	2	ENSMUSG00000077786	81199	115485937	Gm23909	predicted gene, 23909	81199
chr4	139469075	139470018	944	*	10.5384	10.5384	0	Exon (ENSMUST00000147999/ENSMUSG00000066036, exon 28 of 28)	4	139530548	139620382	89835	1	ENSMUSG00000041025	-60530	212632	Iffo2	intermediate filament family orphan 2	60530
chr7	35412360	35413147	788	*	10.544	10.544	0	Intron (ENSMUST00000141704/ENSMUSG00000023072, intron 5 of 19)	7	35397035	35438689	41655	1	ENSMUSG00000023072	15325	72140	Cep89	centrosomal protein 89	15325
chr6	125204681	125205494	814	*	10.4379	10.5475	0	Distal Intergenic	6	125208367	125208691	325	2	ENSMUSG00000107995	3197	NA	NA	NA	3197
chrX	77012916	77013751	836	*	10.557	10.557	0	Distal Intergenic	20	76980706	76981144	439	1	ENSMUSG00000081697	32210	NA	NA	NA	32210
chr4	88748207	88749290	1084	*	10.5607	10.5607	0	Intron (ENSMUST00000233708/ENSMUSG00000086074, intron 2 of 3)	4	88754471	88754678	208	1	ENSMUSG00000117268	-5181	NA	NA	NA	5181
chr15	45537409	45538186	778	*	10.5634	10.5634	0	Distal Intergenic	15	45161451	45163809	2359	1	ENSMUSG00000118565	375958	NA	NA	NA	375958
