seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
I	12869	13476	608	*	19.5585	19.5585	Intron (Y74C9A.2.3/Y74C9A.2, intron 2 of 3)	1	10413	16842	6430	1	Y74C9A.2	2456	4	2456
I	14756	15337	582	*	8.84958	8.84958	Exon (Y74C9A.2.3/Y74C9A.2, exon 3 of 4)	1	10413	16842	6430	1	Y74C9A.2	4343	2	4343
I	30186	30485	300	*	1	1	Exon (Y74C9A.5.2/Y74C9A.5, exon 3 of 5)	1	31523	31543	21	1	Y74C9A.7	-1038	0	1038
I	33578	34187	610	*	13.7662	13.8091	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-1096	3	1096
I	34706	35783	1078	*	32.4169	32.4174	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-2224	6	2224
I	37815	38452	638	*	13.475	13.475	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-5281	3	5281
I	39701	40090	390	*	2.98306	2.98306	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-3643	0	3643
I	41820	42447	628	*	16.2493	16.8824	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-1286	4	1286
I	42770	43297	528	*	45.5146	45.7166	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-436	8	436
I	45040	45339	300	*	1	1	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	1307	0	1307
I	55132	57687	2556	*	42.9731	43.108	3' UTR	1	49919	54426	4508	1	Y48G1C.4	5213	8	5213
I	61767	62162	396	*	2.97941	2.97941	Exon (Y48G1C.5/Y48G1C.5, exon 5 of 12)	1	55316	64021	8706	2	Y48G1C.5	1859	0	1859
I	66801	67278	478	*	65.7215	65.9444	Distal Intergenic	1	55316	64021	8706	2	Y48G1C.5	-2780	9	2780
I	69714	70359	646	*	23.1723	23.1723	Distal Intergenic	1	71858	81071	9214	1	Y48G1C.2	-1499	5	1499
I	85681	86724	1044	*	49.1668	49.1668	Promoter	1	84990	86284	1295	2	Y48G1C.6	0	8	0
I	93449	94054	606	*	23.5277	23.5277	Exon (Y48G1C.1/Y48G1C.1, exon 2 of 6)	1	93031	94881	1851	1	Y48G1C.1	418	5	418
I	96370	96929	560	*	36.7027	36.7027	3' UTR	1	94958	95367	410	2	Y48G1C.13	-1003	7	1003
I	98738	99037	300	*	1	1	Exon (Y48G1C.7/Y48G1C.7, exon 5 of 7)	1	96479	101733	5255	2	Y48G1C.7	2696	0	2696
I	107532	109606	2075	*	44.9015	45.5102	Promoter	1	101213	108161	6949	2	Y48G1C.8	0	8	0
I	110444	110947	504	*	6.84501	6.86134	Promoter	1	110576	110724	149	1	F53G12.15	0	1	0
I	112223	112866	644	*	45.711	46.129	Promoter	1	112383	113672	1290	1	F53G12.13	0	8	0
I	116311	117750	1440	*	58.4703	58.4703	Promoter	1	118104	120870	2767	1	F53G12.6	-354	9	354
I	119424	121715	2292	*	15.5651	15.5854	Exon (F53G12.6/F53G12.6, exon 3 of 7)	1	118104	120870	2767	1	F53G12.6	1320	3	1320
I	122224	122827	604	*	13.5373	13.5374	Distal Intergenic	1	118104	120870	2767	1	F53G12.6	4120	3	4120
I	124638	125121	484	*	14.8016	14.8016	Distal Intergenic	1	127297	134271	6975	1	F53G12.5	-2176	3	2176
I	127988	128853	866	*	22.9898	23.0338	5' UTR	1	127297	134271	6975	1	F53G12.5	691	5	691
I	130185	131272	1088	*	108.422	108.512	Intron (F53G12.5b/F53G12.5, intron 5 of 7)	1	127297	134271	6975	1	F53G12.5	2888	9	2888
I	137336	138411	1076	*	81.5834	81.5834	Promoter	1	137845	144565	6721	1	F53G12.3	0	9	0
I	141889	143162	1274	*	26.1466	26.1466	Exon (F53G12.3/F53G12.3, exon 14 of 21)	1	145236	145627	392	2	F53G12.11	2465	6	2465
