seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr16	18277795	18278094	300	*	1	1	0	Distal Intergenic	16	18238713	18243302	4590	2	ENSDARG00000091144	-34493	NA	NA	NA	34493
chr22	37681938	37682237	300	*	1	1	0	Distal Intergenic	22	37653610	37676763	23154	2	ENSDARG00000013845	-5175	541501	ttc14	tetratricopeptide repeat domain 14	5175
chr23	12895393	12895692	300	*	1	1	0	Distal Intergenic	23	12767914	12768771	858	2	ENSDARG00000100758	-126622	NA	NA	NA	126622
chr24	12265059	12265358	300	*	1	1	0	Distal Intergenic	24	12151592	12152391	800	1	ENSDARG00000108811	113467	NA	NA	NA	113467
chr24	12263407	12263706	300	*	1	1	0	Distal Intergenic	24	12151592	12152391	800	1	ENSDARG00000108811	111815	NA	NA	NA	111815
chr25	25985756	25986055	300	*	1	1	0	Distal Intergenic	25	25970919	25971306	388	2	ENSDARG00000096101	-14450	NA	NA	NA	14450
chr4	51589175	51589474	300	*	1	1	0	Distal Intergenic	4	51608724	51608843	120	2	ENSDARG00000100298	19369	NA	NA	NA	19369
chr8	22521169	22521468	300	*	1	1	0	Promoter (<=1kb)	8	22500490	22521306	20817	2	ENSDARG00000074758	0	336679	csde1	cold shock domain containing E1, RNA-binding	0
chr8	34680597	34680896	300	*	1	1	0	Intron (ENSDART00000133346/ENSDARG00000092675, intron 5 of 5)	8	34706624	34712935	6312	1	ENSDARG00000103596	-25728	NA	NA	NA	25728
chr8	34849545	34849844	300	*	1	1	0	Distal Intergenic	8	34831411	34832612	1202	2	ENSDARG00000101243	-16933	100333095	LOC100333095	E3 ubiquitin-protein ligase RBBP6-like	16933
chr9	27299200	27299499	300	*	1	1	0	Distal Intergenic	9	27504205	27512969	8765	1	ENSDARG00000107055	-204706	NA	NA	NA	204706
