seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	group	absDistToTSS
1	1392306	1393083	778	*	11.2689	11.2689	Distal Intergenic	1	975674	983259	7586	2	ENSCJAG00000003187	-409047	100386103	SLITRK6	SLIT and NTRK like family member 6	1	409047
1	1518489	1519080	592	*	9.42368	9.42368	Distal Intergenic	1	975674	983259	7586	2	ENSCJAG00000003187	-535230	100386103	SLITRK6	SLIT and NTRK like family member 6	0	535230
1	2859810	2860437	628	*	23.6948	23.6948	Promoter (1-2kb)	1	2861539	2868512	6974	1	ENSCJAG00000003189	-1102	NA	NA	NA	6	1102
1	2884697	2885354	658	*	15.1978	15.1978	Distal Intergenic	1	2861539	2868512	6974	1	ENSCJAG00000003189	23158	NA	NA	NA	2	23158
1	3064144	3064887	744	*	12.0444	12.0444	Distal Intergenic	1	2861539	2868512	6974	1	ENSCJAG00000003189	202605	NA	NA	NA	1	202605
1	3305378	3306047	670	*	17.8654	17.8654	Distal Intergenic	1	3519748	3519822	75	1	ENSCJAG00000025414	-213701	NA	NA	NA	4	213701
1	3347632	3348247	616	*	13.5459	13.5459	Distal Intergenic	1	3519748	3519822	75	1	ENSCJAG00000025414	-171501	NA	NA	NA	2	171501
1	3772060	3772553	494	*	13.7927	13.7927	Distal Intergenic	1	3519748	3519822	75	1	ENSCJAG00000025414	252312	NA	NA	NA	2	252312
1	3777063	3777658	596	*	11.5039	11.5039	Distal Intergenic	1	3519748	3519822	75	1	ENSCJAG00000025414	257315	NA	NA	NA	1	257315
1	4532487	4533248	762	*	11.8673	11.8673	Distal Intergenic	1	4452347	4453248	902	2	ENSCJAG00000032597	-79239	NA	NA	NA	1	79239
1	4702054	4702651	598	*	5.75261	5.75261	Distal Intergenic	1	4620727	4621280	554	2	ENSCJAG00000003196	-80774	NA	NA	NA	0	80774
1	5336113	5336822	710	*	15.484	15.484	Distal Intergenic	1	4978942	4979010	69	1	ENSCJAG00000026873	357171	NA	NA	NA	3	357171
1	5667457	5668386	930	*	13.1675	13.1675	Distal Intergenic	1	5868486	5868591	106	2	ENSCJAG00000034697	200205	118148307	LOC118148307	U6 spliceosomal RNA	2	200205
1	6262005	6262670	666	*	15.1384	15.1384	Distal Intergenic	1	6401038	6401099	62	1	ENSCJAG00000034260	-138368	NA	NA	NA	2	138368
1	6275236	6275999	764	*	22.4703	22.4703	Distal Intergenic	1	6401038	6401099	62	1	ENSCJAG00000034260	-125039	NA	NA	NA	5	125039
