seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
I	10976	11725	750	*	45.992	45.992	5' UTR	1	10413	16842	6430	1	Y74C9A.2	563	8	563
I	14756	15337	582	*	8.84958	8.84958	Exon (Y74C9A.2.3/Y74C9A.2, exon 3 of 4)	1	10413	16842	6430	1	Y74C9A.2	4343	1	4343
I	33578	34231	654	*	21.4013	21.4564	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-1096	4	1096
I	34706	35727	1022	*	31.3919	31.3939	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-2224	6	2224
I	38776	39319	544	*	20.1202	20.184	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-4414	4	4414
I	41748	42447	700	*	16.3586	16.3586	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-1286	3	1286
I	44970	45339	370	*	1.98682	1.98682	Downstream (<=300bp)	1	43733	44677	945	1	Y74C9A.1	1237	0	1237
I	56102	57687	1586	*	26.0001	26.4599	Exon (Y48G1C.5/Y48G1C.5, exon 7 of 12)	1	49919	54426	4508	1	Y48G1C.4	6183	5	6183
I	69722	70547	826	*	29.7939	29.7939	Distal Intergenic	1	71858	81071	9214	1	Y48G1C.2	-1311	6	1311
I	86184	86743	560	*	4.7052	4.7052	Promoter	1	84990	86284	1295	2	Y48G1C.6	0	0	0
I	91367	91666	300	*	1	1	Promoter	1	91380	92877	1498	1	Y48G1C.9	0	0	0
I	92824	94119	1296	*	60.9518	60.9518	Promoter	1	93031	94881	1851	1	Y48G1C.1	0	9	0
I	94880	95403	524	*	71.7843	71.7861	Promoter	1	94958	95367	410	2	Y48G1C.13	0	9	0
I	96369	96930	562	*	36.7014	36.7017	3' UTR	1	94958	95367	410	2	Y48G1C.13	-1002	7	1002
I	98554	99037	484	*	1.90813	1.90813	Exon (Y48G1C.7/Y48G1C.7, exon 5 of 7)	1	96479	101733	5255	2	Y48G1C.7	2696	0	2696
I	107962	109720	1759	*	34.6173	35.2753	Promoter	1	101213	108161	6949	2	Y48G1C.8	0	7	0
I	110262	110947	686	*	35.4953	35.5346	Promoter	1	110576	110724	149	1	F53G12.15	0	7	0
I	111233	112732	1500	*	101.668	101.67	Promoter	1	111292	111425	134	1	F53G12.12	0	9	0
I	116455	117874	1420	*	32.5557	32.6335	Promoter	1	118104	120870	2767	1	F53G12.6	-230	6	230
I	120224	121709	1486	*	12.8611	12.8612	Exon (F53G12.6/F53G12.6, exon 5 of 7)	1	118104	120870	2767	1	F53G12.6	2120	2	2120
I	122264	122741	478	*	11.8105	11.8105	Distal Intergenic	1	118104	120870	2767	1	F53G12.6	4160	2	4160
I	127653	129116	1464	*	28.401	28.4334	Promoter	1	127297	134271	6975	1	F53G12.5	356	6	356
I	130198	131221	1024	*	128.239	128.239	Intron (F53G12.5b/F53G12.5, intron 5 of 7)	1	127297	134271	6975	1	F53G12.5	2901	9	2901
I	137518	138005	488	*	14.8231	14.8231	Promoter	1	137845	144565	6721	1	F53G12.3	0	3	0
I	142428	142829	402	*	14.9467	14.9467	Exon (F53G12.3/F53G12.3, exon 16 of 21)	1	145236	145627	392	2	F53G12.11	2798	3	2798
I	150855	151354	500	*	8.89992	8.89992	Exon (F56C11.1/F56C11.1, exon 9 of 19)	1	145968	154850	8883	2	F56C11.1	3496	1	3496
I	155863	156400	538	*	9.76925	9.76925	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-1013	1	1013
I	159178	159651	474	*	28.7186	28.75	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-4328	6	4328
I	160133	160568	436	*	5.94425	6.18378	3' UTR	1	145968	154850	8883	2	F56C11.1	-5283	1	5283
I	172694	173173	480	*	15.7912	15.9501	Promoter	1	173412	175991	2580	1	F56C11.6	-239	3	239
I	173606	174507	902	*	28.5881	28.6029	Promoter	1	173412	175991	2580	1	F56C11.6	194	6	194
I	181689	182168	480	*	3.92824	3.92824	3' UTR	1	182079	182771	693	2	F56C11.3	603	0	603
I	229363	231384	2022	*	26.4562	26.6722	Distal Intergenic	1	231574	238252	6679	2	Y48G1BM.6	6868	5	6868
I	231707	232342	636	*	8.81606	8.8172	Exon (Y48G1BM.6/Y48G1BM.6, exon 12 of 12)	1	231574	238252	6679	2	Y48G1BM.6	5910	1	5910
I	257791	258190	400	*	18.9081	18.9081	5' UTR	1	254709	258692	3984	2	Y48G1BM.9	502	4	502
I	260006	260551	546	*	30.3549	30.3549	Distal Intergenic	1	257414	259157	1744	2	Y48G1BR.1	-849	6	849
I	261809	262394	586	*	28.525	28.525	Distal Intergenic	1	257414	259157	1744	2	Y48G1BR.1	-2652	6	2652
I	276886	277433	548	*	26.0687	26.0687	Distal Intergenic	1	280120	280445	326	1	C53D5.3	-2687	5	2687
I	288961	289428	468	*	35.8297	35.8297	Promoter	1	286089	289139	3051	2	C53D5.4	0	7	0
I	296074	296585	512	*	62.3713	62.3721	Intron (C53D5.1c.1/C53D5.1, intron 2 of 7)	1	291216	305473	14258	1	C53D5.1	4858	9	4858
I	297383	297878	496	*	7.89527	7.90248	Intron (C53D5.1c.1/C53D5.1, intron 2 of 7)	1	291216	305473	14258	1	C53D5.1	6167	1	6167
I	299193	300272	1080	*	49.9289	49.9289	Intron (C53D5.1c.1/C53D5.1, intron 2 of 7)	1	291216	305473	14258	1	C53D5.1	7977	8	7977
I	301203	301722	520	*	8.87635	8.87651	5' UTR	1	305811	310888	5078	2	C53D5.5	9166	1	9166
I	308045	308344	300	*	1	1	Intron (C53D5.5.1/C53D5.5, intron 4 of 6)	1	305811	310888	5078	2	C53D5.5	2544	0	2544
I	310678	311303	626	*	13.2957	13.2957	Promoter	1	305811	310888	5078	2	C53D5.5	0	2	0
I	313773	315278	1506	*	25.1991	25.6539	Promoter	1	310981	314992	4012	2	C53D5.6	0	5	0
I	320759	322254	1496	*	18.6993	18.6993	Exon (Y48G1A.5/Y48G1A.5, exon 3 of 5)	1	318543	323353	4811	2	Y48G1A.5	1099	4	1099
