seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr11	61323197	61323496	300	*	1	1	0	not	0	Intron (ENST00000263846/ENSG00000011347, intron 2 of 8)	11	61306988	61309731	2744	2	ENSG00000256443	-13466	NA	NA	NA	13466
chr11	113400010	113400309	300	*	1	1	0	not	0	Distal Intergenic	11	113280318	113346413	66096	2	ENSG00000149295	-53597	1813	DRD2	dopamine receptor D2	53597
chr14	103005835	103006134	300	*	1	1	1	overlapTSS	0	Promoter (<=1kb)	14	103005981	103006063	83	1	ENSG00000266015	0	100422954	MIR4309	microRNA 4309	0
chr2	6055803	6056102	300	*	1	1	0	not	0	Distal Intergenic	2	6072819	6141407	68589	1	ENSG00000232044	-16717	NA	NA	NA	16717
chr3	30709275	30709574	300	*	1	1	0	not	0	Intron (ENST00000295754/ENSG00000163513, intron 3 of 6)	3	30739153	30741068	1916	1	ENSG00000261468	-29579	NA	NA	NA	29579
chr3	183542766	183543065	300	*	1	1	0	not	0	Promoter (<=1kb)	3	183533664	183543382	9719	2	ENSG00000180834	317	79929	MAP6D1	MAP6 domain containing 1	317
chr4	6112274	6112573	300	*	1	1	0	not	0	Intron (ENST00000409021/ENSG00000152969, intron 2 of 20)	4	6027926	6202318	174393	2	ENSG00000152969	89745	152789	JAKMIP1	janus kinase and microtubule interacting protein 1	89745
chr4	39707831	39708130	300	*	1	1	0	not	0	Intron (ENST00000261427/ENSG00000078140, intron 1 of 6)	4	39711705	39711796	92	2	ENSG00000252975	3666	NA	NA	NA	3666
chr8	103906770	103907069	300	*	1	1	0	not	0	Promoter (<=1kb)	8	103838585	103906092	67508	2	ENSG00000155096	-678	51582	AZIN1	antizyme inhibitor 1	678
chr8	122654184	122654483	300	*	1	1	0	not	0	Promoter (<=1kb)	8	122624356	122653630	29275	2	ENSG00000170961	-554	3037	HAS2	hyaluronan synthase 2	554
chr5	10327	10626	300	*	1	1.00028	0	not	0	Distal Intergenic	5	58313	59030	718	1	ENSG00000250020	-47687	NA	NA	NA	47687
chr2	120458993	120459294	302	*	0.999994	1.00109	0	not	0	Distal Intergenic	2	120456199	120457733	1535	1	ENSG00000229326	2794	NA	NA	NA	2794
chr9	139562363	139562670	308	*	0.999911	1.00348	0	not	0	Intron (ENST00000371699/ENSG00000172889, intron 2 of 9)	9	139565054	139565138	85	1	ENSG00000199161	-2384	406913	MIR126	microRNA 126	2384
chr6	99293252	99293609	358	*	1.99068	1.99068	0	not	0	Distal Intergenic	6	99282580	99286660	4081	1	ENSG00000184486	10672	5454	POU3F2	POU class 3 homeobox 2	10672
chr14	55921833	55922158	326	*	1.99812	1.99812	0	not	0	Promoter (1-2kb)	14	55880259	55923444	43186	2	ENSG00000182521	1286	387332	TBPL2	TATA-box binding protein like 2	1286
chr10	120721524	120721849	326	*	1.99826	1.99864	0	not	0	Distal Intergenic	10	120692186	120692807	622	2	ENSG00000213574	-28717	NA	NA	NA	28717
chr19	55516629	55516944	316	*	1.99929	1.99929	2	overlapTSS	0	Promoter (<=1kb)	19	55517561	55559454	41894	1	ENSG00000267265	-617	NA	NA	NA	617
chr7	149462280	149462593	314	*	1.99946	1.99946	2	overlapTSS	0	Exon (ENST00000302017/ENSG00000181444, exon 5 of 5)	7	149461271	149470568	9298	2	ENSG00000181444	7975	168544	ZNF467	zinc finger protein 467	7975
chr2	52799410	52799721	312	*	1.9996	1.9996	0	not	0	Promoter (1-2kb)	2	52797786	52799660	1875	1	ENSG00000204993	1624	NA	NA	NA	1624
chr9	133759389	133759698	310	*	1.99977	1.99977	0	not	0	Exon (ENST00000372348/ENSG00000097007, exon 11 of 11)	9	133768815	133769225	411	2	ENSG00000188710	9527	347148	QRFP	pyroglutamylated RFamide peptide	9527
chr6	32055925	32056232	308	*	1.99986	1.99986	0	not	0	Intron (ENST00000375244/ENSG00000168477, intron 6 of 43)	6	32046285	32046405	121	2	ENSG00000252512	-9520	NA	NA	NA	9520
chrX	25023634	25023939	306	*	1.99993	1.99993	1	overlapTSS	0	Intron (ENST00000379044/ENSG00000004848, intron 4 of 4)	23	25021811	25034065	12255	2	ENSG00000004848	10126	170302	ARX	aristaless related homeobox	10126
chrX	153151457	153151762	306	*	1.99993	1.99993	0	not	0	5' UTR	23	153146127	153154444	8318	1	ENSG00000196987	5330	NA	NA	NA	5330
chr5	179894681	179894984	304	*	1.99996	1.99996	0	not	0	Distal Intergenic	5	179871509	179871612	104	1	ENSG00000200555	23172	NA	NA	NA	23172
chr11	67132904	67133205	302	*	1.99999	1.99999	2	overlapTSS	0	Exon (ENST00000312438/ENSG00000175505, exon 3 of 3)	11	67129885	67130179	295	1	ENSG00000201684	3019	NA	NA	NA	3019
chr14	68161922	68162223	302	*	1.99999	1.99999	0	not	0	Promoter (<=1kb)	14	68143518	68162531	19014	2	ENSG00000072042	308	51109	RDH11	retinol dehydrogenase 11	308
chrX	152743982	152744283	302	*	1.99999	1.99999	0	not	0	Intron (ENST00000421080/ENSG00000213397, intron 1 of 12)	23	152751314	152752546	1233	1	ENSG00000224963	-7031	NA	NA	NA	7031
chr12	123464322	123464621	300	*	2	2	9	overlapTSS	0	Promoter (<=1kb)	12	123464607	123467456	2850	1	ENSG00000182196	0	51329	ARL6IP4	ADP ribosylation factor like GTPase 6 interacting protein 4	0
chr2	232261576	232261885	310	*	1.99981	2.0012	1	overlapTSS	0	Promoter (1-2kb)	2	232260254	232265875	5622	1	ENSG00000156966	1322	93010	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	1322
chr2	178035843	178036250	408	*	1.97068	2.0757	0	not	0	Intron (ENST00000455416/ENSG00000229337, intron 1 of 1)	2	178042423	178042983	561	1	ENSG00000226273	-6173	NA	NA	NA	6173
chr19	49402006	49402437	432	*	1.95289	2.08906	2	overlapTSS	0	Promoter (<=1kb)	19	49384222	49401990	17769	2	ENSG00000104804	-16	7288	TULP2	TUB like protein 2	16
chr11	6291643	6292040	398	*	2.97403	2.97403	0	not	0	Exon (ENST00000334619/ENSG00000110148, exon 4 of 5)	11	6280966	6293357	12392	1	ENSG00000110148	10677	887	CCKBR	cholecystokinin B receptor	10677
chr2	176972914	176973283	370	*	2.9886	2.9886	2	overlapTSS	0	Promoter (<=1kb)	2	176973371	176973458	88	1	ENSG00000216193	-88	NA	NA	NA	88
chr2	74651272	74651641	370	*	2.98948	2.98948	3	overlapTSS	0	Intron (ENST00000461531/ENSG00000005448, intron 5 of 7)	2	74648805	74652882	4078	1	ENSG00000005448	2467	84058	WDR54	WD repeat domain 54	2467
chr6	33175907	33176264	358	*	2.99125	2.99125	2	overlapTSS	0	Promoter (<=1kb)	6	33176272	33180499	4228	1	ENSG00000204227	-8	6015	RING1	ring finger protein 1	8
chr2	16125647	16126002	356	*	2.99186	2.99186	0	not	0	Distal Intergenic	2	16090812	16091103	292	2	ENSG00000243541	-34544	NA	NA	NA	34544
chr13	33591540	33591897	358	*	2.99306	2.99306	1	overlapTSS	0	Promoter (1-2kb)	13	33590207	33640282	50076	1	ENSG00000133116	1333	9365	KL	klotho	1333
chr2	73151648	73152003	356	*	2.99325	2.99325	0	not	0	Intron (ENST00000394111/ENSG00000135638, intron 2 of 2)	2	73143389	73162020	18632	1	ENSG00000135638	8259	2016	EMX1	empty spiracles homeobox 1	8259
chr3	195441118	195441461	344	*	2.99485	2.99485	0	not	0	Intron (ENST00000432194/ENSG00000242086, intron 3 of 3)	3	195447753	195467994	20242	1	ENSG00000176945	-6292	200958	MUC20	mucin 20, cell surface associated	6292
chr11	2931064	2931411	348	*	2.99504	2.99504	0	not	0	Intron (ENST00000347936/ENSG00000110628, intron 5 of 10)	11	2909010	2924970	15961	2	ENSG00000254827	-6094	5003	SLC22A18AS	solute carrier family 22 member 18 antisense	6094
chr14	34608875	34609216	342	*	2.99567	2.99567	0	not	0	Intron (ENST00000487915/ENSG00000129521, intron 3 of 5)	14	34509303	34528506	19204	1	ENSG00000258897	99572	NA	NA	NA	99572
chr1	156215234	156215579	346	*	2.99572	2.99572	2	overlapTSS	0	Exon (ENST00000492619/ENSG00000160781, exon 3 of 7)	1	156213206	156217881	4676	2	ENSG00000160781	2302	79957	PAQR6	progestin and adipoQ receptor family member 6	2302
chr16	85587391	85587728	338	*	2.99679	2.99679	0	not	0	Distal Intergenic	16	85613615	85617177	3563	2	ENSG00000270124	29449	NA	NA	NA	29449
chr1	43919868	43920197	330	*	2.99806	2.99806	1	overlapTSS	0	Promoter (<=1kb)	1	43916824	43919660	2837	2	ENSG00000178922	-208	81888	HYI	hydroxypyruvate isomerase (putative)	208
chr7	128550324	128550651	328	*	2.99832	2.99832	0	not	0	Promoter (<=1kb)	7	128502505	128550773	48269	2	ENSG00000135253	122	375616	KCP	kielin cysteine rich BMP regulator	122
chr4	789030	789355	326	*	2.99838	2.99838	0	not	0	Intron (ENST00000304062/ENSG00000168993, intron 2 of 3)	4	756175	775637	19463	2	ENSG00000249592	-13393	100129917	LOC100129917	uncharacterized LOC100129917	13393
chr1	32827409	32827724	316	*	2.99942	2.99942	2	overlapTSS	0	5' UTR	1	32826871	32829879	3009	2	ENSG00000225828	2155	100128071	FAM229A	family with sequence similarity 229 member A	2155
chr1	110075185	110075490	306	*	2.99993	2.99993	0	not	0	Distal Intergenic	1	110082494	110091028	8535	1	ENSG00000156097	-7004	83873	GPR61	G protein-coupled receptor 61	7004
chr9	100620853	100621156	304	*	2.99997	2.99997	0	not	0	Distal Intergenic	9	100615536	100618986	3451	1	ENSG00000178919	5317	2304	FOXE1	forkhead box E1	5317
chr1	150545816	150546203	388	*	3.96644	3.96644	2	overlapTSS	0	Downstream (<1kb)	1	150541449	150541745	297	2	ENSG00000264584	-4071	NA	NA	NA	4071
chr17	39890332	39890759	428	*	3.96985	3.96985	0	not	0	Promoter (<=1kb)	17	39873994	39890896	16903	2	ENSG00000173805	137	9001	HAP1	huntingtin associated protein 1	137
chr8	144359179	144359552	374	*	3.9835	3.9835	0	not	0	Downstream (2-3kb)	8	144362331	144363860	1530	2	ENSG00000253716	4308	100507316	MINCR	MYC-induced long non-coding RNA	4308
chr6	27523819	27524208	390	*	3.98503	3.98503	0	not	0	Distal Intergenic	6	27528601	27529523	923	2	ENSG00000219738	5315	NA	NA	NA	5315
