seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
I	10976	11679	704	*	17.7545	17.7545	5' UTR	1	10413	16842	6430	1	Y74C9A.2	563	9	563
I	14818	15337	520	*	4.9056	4.9056	Exon (Y74C9A.2.3/Y74C9A.2, exon 3 of 4)	1	10413	16842	6430	1	Y74C9A.2	4405	3	4405
I	33578	34143	566	*	6.77017	6.78186	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-1096	5	1096
I	34706	35797	1092	*	11.9656	11.9658	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-2224	8	2224
I	38776	39307	532	*	5.78998	5.82523	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-4426	4	4426
I	39649	40212	564	*	2.89052	2.98054	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-3521	1	3521
I	41816	42445	630	*	7.76695	7.76695	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-1288	6	1288
I	44970	45339	370	*	1.98682	1.98682	Downstream (<=300bp)	1	43733	44677	945	1	Y74C9A.1	1237	0	1237
I	56146	57653	1508	*	6.62523	6.79673	Exon (Y48G1C.5/Y48G1C.5, exon 7 of 12)	1	49919	54426	4508	1	Y48G1C.4	6227	5	6227
I	69722	70675	954	*	9.44902	9.44902	Distal Intergenic	1	71858	81071	9214	1	Y48G1C.2	-1183	7	1183
I	86163	86724	562	*	3.73807	3.73807	Promoter	1	84990	86284	1295	2	Y48G1C.6	0	1	0
I	91367	91666	300	*	1	1	Promoter	1	91380	92877	1498	1	Y48G1C.9	0	0	0
I	92998	94151	1154	*	12.3	12.3	Promoter	1	93031	94881	1851	1	Y48G1C.1	0	8	0
I	94880	95365	486	*	7.79075	7.79168	Promoter	1	94958	95367	410	2	Y48G1C.13	2	6	2
I	96369	96870	502	*	5.87352	5.87357	3' UTR	1	94958	95367	410	2	Y48G1C.13	-1002	4	1002
I	98554	99037	484	*	1.90813	1.90813	Exon (Y48G1C.7/Y48G1C.7, exon 5 of 7)	1	96479	101733	5255	2	Y48G1C.7	2696	0	2696
I	107574	109734	2161	*	7.15242	7.42079	Promoter	1	101213	108161	6949	2	Y48G1C.8	0	5	0
I	110396	110947	552	*	4.79056	4.79978	Promoter	1	110576	110724	149	1	F53G12.15	0	2	0
I	111563	112800	1238	*	12.0856	12.0856	Promoter	1	112383	113672	1290	1	F53G12.13	0	8	0
I	116456	117931	1476	*	9.32423	9.38645	Promoter	1	118104	120870	2767	1	F53G12.6	-173	7	173
I	120224	121699	1476	*	6.52164	6.52167	Exon (F53G12.6/F53G12.6, exon 5 of 7)	1	118104	120870	2767	1	F53G12.6	2120	4	2120
I	122254	122713	460	*	5.92204	5.92209	Distal Intergenic	1	118104	120870	2767	1	F53G12.6	4150	4	4150
I	127671	129116	1446	*	15.0107	15.0456	Promoter	1	127297	134271	6975	1	F53G12.5	374	9	374
I	130172	131221	1050	*	24.2793	24.2793	Intron (F53G12.5b/F53G12.5, intron 5 of 7)	1	127297	134271	6975	1	F53G12.5	2875	9	2875
I	137498	138005	508	*	4.90757	4.90757	Promoter	1	137845	144565	6721	1	F53G12.3	0	3	0
I	142447	142838	392	*	3.9796	3.9796	Exon (F53G12.3/F53G12.3, exon 16 of 21)	1	145236	145627	392	2	F53G12.11	2789	2	2789
I	150855	151292	438	*	2.9499	2.9499	Exon (F56C11.1/F56C11.1, exon 9 of 19)	1	145968	154850	8883	2	F56C11.1	3558	1	3558
I	155863	156362	500	*	4.9103	4.9103	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-1013	3	1013
I	159184	159687	504	*	7.86516	7.89809	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-4334	6	4334
I	160185	160568	384	*	4.98712	5.05097	3' UTR	1	145968	154850	8883	2	F56C11.1	-5335	3	5335
I	172694	173157	464	*	3.95437	3.97969	Promoter	1	173412	175991	2580	1	F56C11.6	-255	2	255
I	173606	174505	900	*	5.38847	5.39197	Promoter	1	173412	175991	2580	1	F56C11.6	194	3	194
I	181689	182162	474	*	2.92885	2.92885	3' UTR	1	182079	182771	693	2	F56C11.3	609	1	609
I	229363	230416	1054	*	9.76821	9.83127	Distal Intergenic	1	221064	221575	512	2	Y48G1BL.6	-7788	7	7788
I	231707	232296	590	*	2.82649	2.82685	Exon (Y48G1BM.6/Y48G1BM.6, exon 12 of 12)	1	231574	238252	6679	2	Y48G1BM.6	5956	0	5956
I	257792	258185	394	*	4.97685	4.97685	5' UTR	1	254709	258692	3984	2	Y48G1BM.9	507	3	507
I	260038	260551	514	*	10.7591	10.7591	Distal Intergenic	1	257414	259157	1744	2	Y48G1BR.1	-881	8	881
I	261825	262402	578	*	8.64918	8.64918	Distal Intergenic	1	257414	259157	1744	2	Y48G1BR.1	-2668	6	2668
I	276884	277433	550	*	8.74288	8.74288	Distal Intergenic	1	280120	280445	326	1	C53D5.3	-2687	7	2687
I	288962	289453	492	*	6.90496	6.90496	Promoter	1	286089	289139	3051	2	C53D5.4	0	5	0
I	296074	296565	492	*	8.77176	8.77225	Intron (C53D5.1c.1/C53D5.1, intron 2 of 7)	1	291216	305473	14258	1	C53D5.1	4858	7	4858
I	297383	297878	496	*	4.90131	4.90226	Intron (C53D5.1c.1/C53D5.1, intron 2 of 7)	1	291216	305473	14258	1	C53D5.1	6167	3	6167
I	299357	300272	916	*	12.0606	12.0606	Intron (C53D5.1c.1/C53D5.1, intron 2 of 7)	1	291216	305473	14258	1	C53D5.1	8141	8	8141
I	301179	301638	460	*	2.94486	2.94508	5' UTR	1	305811	310888	5078	2	C53D5.5	9250	1	9250
I	308045	308344	300	*	1	1	Intron (C53D5.5.1/C53D5.5, intron 4 of 6)	1	305811	310888	5078	2	C53D5.5	2544	0	2544
I	310653	311254	602	*	6.69462	6.69462	Promoter	1	305811	310888	5078	2	C53D5.5	0	5	0
I	313844	315970	2127	*	5.9463	6.06779	Promoter	1	310981	314992	4012	2	C53D5.6	0	4	0
I	321001	322254	1254	*	6.73063	6.73074	Exon (Y48G1A.5/Y48G1A.5, exon 3 of 5)	1	318543	323353	4811	2	Y48G1A.5	1099	5	1099
I	322763	323144	382	*	1.98891	2.01405	Promoter	1	318543	323353	4811	2	Y48G1A.5	209	0	209
I	332601	332940	340	*	1.99578	1.99578	Promoter	1	332610	337845	5236	1	Y48G1A.3	0	0	0
I	340843	341912	1070	*	6.31202	6.31202	Distal Intergenic	1	347465	348361	897	1	Y48G1A.2	-5553	4	5553
I	364101	365506	1406	*	10.1457	10.1457	Promoter	1	364522	368511	3990	1	R119.7	0	7	0
I	368725	369364	640	*	6.60906	6.60906	3' UTR	1	368373	373411	5039	2	R119.2	4047	4	4047
I	378410	381069	2660	*	8.85781	8.86412	Promoter	1	373350	379078	5729	2	R119.3	0	7	0
I	381122	381907	786	*	11.5263	11.5534	Promoter	1	377478	381907	4430	2	R119.4	0	8	0
I	382186	382717	532	*	3.83687	4.07231	Promoter	1	382836	388850	6015	1	R119.6	-119	2	119
I	392557	393038	482	*	5.90503	5.90503	Exon (R119.5/R119.5, exon 3 of 10)	1	388510	394418	5909	2	R119.5	1380	4	1380
I	395099	395608	510	*	5.7996	5.7996	Distal Intergenic	1	388510	394418	5909	2	R119.5	-681	4	681
I	397568	398483	916	*	16.5598	16.5598	Distal Intergenic	1	398894	412513	13620	1	Y50C1A.1	-411	9	411
I	429018	429469	452	*	4.94625	4.94625	Distal Intergenic	1	420925	423721	2797	1	C07F11.2	8093	3	8093
I	433268	434017	750	*	14.8059	14.8059	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-9985	9	9985
I	437639	438008	370	*	1.98682	1.98682	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-5994	0	5994
