seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
2L	5427	6116	690	*	14.9474	14.9474	Distal Intergenic	1	7529	9484	1956	1	FBgn0031208	-1413	8	1413
2L	7639	7974	336	*	0.998202	1.01523	Promoter	1	7529	9484	1956	1	FBgn0031208	110	0	110
2L	8627	9156	530	*	8.74164	8.7428	3' UTR	1	7529	9484	1956	1	FBgn0031208	1098	5	1098
2L	18542	19275	734	*	8.40645	8.40645	5' UTR	1	9839	21376	11538	2	FBgn0002121	2101	5	2101
2L	21347	21964	618	*	6.31522	6.31522	Promoter	1	9839	21376	11538	2	FBgn0002121	0	4	0
2L	33593	35789	2197	*	8.97575	9.34965	Exon (FBtr0078163/FBgn0051973, exon 5 of 13)	1	21823	25155	3333	2	FBgn0031209	-8438	6	8438
2L	40316	40629	314	*	1.99946	1.99946	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	-14188	1	14188
2L	41701	43865	2165	*	9.56728	9.57986	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	-10952	6	10952
2L	45878	46249	372	*	6.98907	6.98907	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	-8568	5	8568
2L	53717	54016	300	*	1	1.00004	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	-801	0	801
2L	55114	55455	342	*	2.9955	3.00354	Promoter	1	54817	55767	951	1	FBgn0267987	297	2	297
2L	56015	56366	352	*	0.996251	1.0292	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	1198	0	1198
2L	57178	57535	358	*	2.99534	3.0335	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	2361	2	2361
2L	59017	59590	574	*	5.78091	5.82792	5' UTR	1	54817	55767	951	1	FBgn0267987	4200	4	4200
2L	62461	62838	378	*	4.97793	4.97793	Intron (FBtr0309226/FBgn0051973, intron 1 of 13)	1	25402	65404	40003	2	FBgn0051973	2566	3	2566
2L	66630	67759	1130	*	15.3917	15.5835	Promoter	1	66482	71390	4909	1	FBgn0067779	148	8	148
2L	72416	73943	1528	*	25.5085	26.3385	Promoter	1	71039	73836	2798	2	FBgn0266322	0	9	0
2L	78510	80936	2427	*	6.30988	6.41017	Distal Intergenic	1	76348	77783	1436	1	FBgn0031214	2162	4	2162
2L	84619	84918	300	*	1	1	Intron (FBtr0290323/FBgn0002931, intron 1 of 1)	1	82421	87387	4967	2	FBgn0002931	2469	0	2469
