seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr1	34336676	34336975	300	*	1	1	0	Distal Intergenic	1	34378978	34382152	3175	2	ENSDARG00000105033	45177	103910066	LOC103910066	B- and T-lymphocyte attenuator-like	45177
chr1	39545410	39545709	300	*	1	1	0	Promoter (<=1kb)	1	39545598	39552488	6891	1	ENSDARG00000031435	0	336637	zgc:56493	zgc:56493	0
chr10	2848478	2848777	300	*	1	1	0	Promoter (<=1kb)	10	2829206	2848564	19359	2	ENSDARG00000020913	0	445399	ddx56	DEAD (Asp-Glu-Ala-Asp) box helicase 56	0
chr10	14250799	14251098	300	*	1	1	0	Promoter (1-2kb)	10	14252548	14254682	2135	1	ENSDARG00000095502	-1450	NA	NA	NA	1450
chr10	14337784	14338083	300	*	1	1	0	Intron (ENSDART00000176126/ENSDARG00000069543, intron 9 of 11)	10	14252548	14254682	2135	1	ENSDARG00000095502	85236	NA	NA	NA	85236
chr10	33307857	33308156	300	*	1	1	0	Promoter (<=1kb)	10	33300290	33308012	7723	2	ENSDARG00000100611	0	NA	NA	NA	0
chr11	12533321	12533621	301	*	1	1	0	Promoter (<=1kb)	11	12533340	12533637	298	2	ENSDARG00000098483	16	NA	NA	NA	16
chr11	12478630	12478929	300	*	1	1	0	Promoter (<=1kb)	11	12478625	12478921	297	1	ENSDARG00000098933	5	NA	NA	NA	5
chr11	26352526	26352825	300	*	1	1	0	Promoter (<=1kb)	11	26330876	26352813	21938	2	ENSDARG00000007494	0	445567	st3gal8	ST3 beta-galactoside alpha-2,3-sialyltransferase 8	0
chr11	27958112	27958411	300	*	1	1	0	Distal Intergenic	11	27970967	28177012	206046	1	ENSDARG00000021539	-12556	554232	ephb2b	eph receptor B2b	12556
chr11	34748312	34748611	300	*	1	1	0	Exon (ENSDART00000128070/ENSDARG00000018174, exon 3 of 9)	11	34786649	34794614	7966	1	ENSDARG00000070360	-38038	692272	inka1a	inka box actin regulator 1a	38038
chr11	42704614	42704913	300	*	1	1	0	Distal Intergenic	11	42640693	42688166	47474	2	ENSDARG00000102755	-16448	100000931	eml6	EMAP like 6	16448
chr12	14332781	14333080	300	*	1	1	0	Distal Intergenic	12	14127733	14172990	45258	2	ENSDARG00000055538	-159791	751682	avl9	AVL9 homolog (S. cerevisiase)	159791
chr12	20536350	20536649	300	*	1	1	0	Promoter (<=1kb)	12	20531083	20536411	5329	2	ENSDARG00000058076	0	492771	snf8	SNF8 subunit of ESCRT-II	0
