seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr11	41448112	41448411	300	*	1	1	0	Distal Intergenic	11	41445747	41447055	1309	1	ENSDARG00000099644	2365	NA	NA	NA	2365
chr11	44336132	44336431	300	*	1	1	0	Exon (ENSDART00000168209/ENSDARG00000103129, exon 17 of 20)	11	44354989	44374864	19876	1	ENSDARG00000101877	-18558	436655	rbm34	RNA binding motif protein 34	18558
chr12	14329834	14330133	300	*	1	1	0	Distal Intergenic	12	14127733	14172990	45258	2	ENSDARG00000055538	-156844	751682	avl9	AVL9 homolog (S. cerevisiase)	156844
chr13	5953199	5953498	300	*	1	1	0	Promoter (<=1kb)	13	5947112	5953343	6232	2	ENSDARG00000020219	0	30138	dld	deltaD	0
chr13	17185710	17186009	300	*	1	1	0	Intron (ENSDART00000145499/ENSDARG00000057166, intron 2 of 6)	13	17333410	17334114	705	1	ENSDARG00000093577	-147401	NA	NA	NA	147401
chr13	22936697	22936996	300	*	1	1	0	Promoter (<=1kb)	13	22927818	22936931	9114	2	ENSDARG00000056549	0	393881	vps26a	VPS26, retromer complex component A	0
chr14	21939724	21940023	300	*	1	1	0	Intron (ENSDART00000114750/ENSDARG00000079586, intron 4 of 9)	14	21996542	22070675	74134	1	ENSDARG00000076230	-56519	563932	atp10b	ATPase phospholipid transporting 10B	56519
chr14	43375324	43375623	300	*	1	1	0	Distal Intergenic	14	43192320	43204899	12580	2	ENSDARG00000076526	-170425	393950	gar1	GAR1 homolog, ribonucleoprotein	170425
chr16	15789682	15789981	300	*	1	1	0	Distal Intergenic	16	15818084	15819024	941	2	ENSDARG00000102085	29043	NA	NA	NA	29043
chr16	18277795	18278094	300	*	1	1	0	Distal Intergenic	16	18238713	18243302	4590	2	ENSDARG00000091144	-34493	NA	NA	NA	34493
chr17	31163240	31163539	300	*	1	1	0	Distal Intergenic	17	31166644	31190113	23470	1	ENSDARG00000042846	-3105	405793	disp2	dispatched homolog 2 (Drosophila)	3105
chr17	42447901	42448200	300	*	1	1	0	Intron (ENSDART00000154755/ENSDARG00000079967, intron 2 of 18)	17	42338354	42523698	185345	2	ENSDARG00000079967	75498	557337	prkd3	protein kinase D3	75498
chr20	18361112	18361411	300	*	1	1	0	Promoter (<=1kb)	20	18360830	18396654	35825	1	ENSDARG00000075732	282	100150678	taf4b	TAF4B RNA polymerase II, TATA box binding protein (TBP)-associated factor	282
chr21	9020	9319	300	*	1	1	0	Promoter (1-2kb)	21	723	11192	10470	2	ENSDARG00000103030	1873	NA	NA	NA	1873
chr22	25681169	25681468	300	*	1	1	0	Intron (ENSDART00000176962/ENSDARG00000089525, intron 2 of 5)	22	25673400	25723669	50270	1	ENSDARG00000107226	7769	110437821	LOC110437821	rhamnose-binding lectin-like	7769
chr22	37681938	37682237	300	*	1	1	0	Distal Intergenic	22	37653610	37676763	23154	2	ENSDARG00000013845	-5175	541501	ttc14	tetratricopeptide repeat domain 14	5175
chr23	12866311	12866610	300	*	1	1	0	Distal Intergenic	23	12767914	12768771	858	2	ENSDARG00000100758	-97540	NA	NA	NA	97540
chr23	12895393	12895692	300	*	1	1	0	Distal Intergenic	23	12767914	12768771	858	2	ENSDARG00000100758	-126622	NA	NA	NA	126622
chr24	26315689	26315988	300	*	1	1	0	Promoter (<=1kb)	24	26301280	26315812	14533	2	ENSDARG00000079231	0	556696	slc7a14b	solute carrier family 7 member 14b	0
chr20	12750459	12750758	300	*	1	1	0	Promoter (1-2kb)	20	12672567	12749151	76585	2	ENSDARG00000105492	-1308	NA	NA	NA	1308
chr4	51589175	51589474	300	*	1	1	0	Distal Intergenic	4	51608724	51608843	120	2	ENSDARG00000100298	19369	NA	NA	NA	19369
chr4	40841800	40842099	300	*	1	1	0	Promoter (1-2kb)	4	40843717	40859902	16186	1	ENSDARG00000094459	-1618	NA	NA	NA	1618
chr4	31013783	31014082	300	*	1	1	0	Promoter (<=1kb)	4	31014082	31014245	164	2	ENSDARG00000103182	163	NA	NA	NA	163
chr4	48860677	48860976	300	*	1	1	0	Distal Intergenic	4	48911465	48924864	13400	1	ENSDARG00000093994	-50489	NA	NA	NA	50489
chr7	22597450	22597749	300	*	1	1	0	Exon (ENSDART00000148502/ENSDARG00000022466, exon 5 of 13)	7	22582631	22629187	46557	1	ENSDARG00000022466	14819	557584	clcn5b	chloride channel, voltage-sensitive 5b	14819
chr7	42735512	42735811	300	*	1	1	0	Distal Intergenic	7	42599761	42603898	4138	1	ENSDARG00000099710	135751	NA	NA	NA	135751
chr8	13147271	13147570	300	*	1	1	0	Promoter (<=1kb)	8	13123975	13147284	23310	2	ENSDARG00000069407	0	568410	zgc:194990	zgc:194990	0
chr8	34680597	34680896	300	*	1	1	0	Intron (ENSDART00000133346/ENSDARG00000092675, intron 5 of 5)	8	34706624	34712935	6312	1	ENSDARG00000103596	-25728	NA	NA	NA	25728
chr8	52002457	52002756	300	*	1	1	0	3' UTR	8	51972150	52004155	32006	1	ENSDARG00000025013	30307	556160	gna14a	guanine nucleotide binding protein (G protein), alpha 14a	30307
chr17	49966407	49966754	348	*	0.996805	1.02033	0	Exon (ENSDART00000075209/ENSDARG00000077712, exon 3 of 9)	17	49971805	49975421	3617	2	ENSDARG00000105983	8667	NA	NA	NA	8667
chr3	34019683	34020106	424	*	0.978871	1.04551	0	Promoter (<=1kb)	3	34019829	34042706	22878	1	ENSDARG00000018698	0	445251	carm1	coactivator-associated arginine methyltransferase 1	0
chr17	10592459	10592932	474	*	1.91857	1.91857	0	Promoter (<=1kb)	17	10592332	10610643	18312	1	ENSDARG00000002670	127	407686	atg14	autophagy related 14	127
chr10	32007209	32007680	472	*	1.9204	1.9204	0	Promoter (<=1kb)	10	32007478	32094403	86926	1	ENSDARG00000004363	0	494110	lhfpl6	LHFPL tetraspan subfamily member 6	0
chr24	18670041	18670498	458	*	1.93184	1.93184	0	Exon (ENSDART00000092783/ENSDARG00000063474, exon 6 of 39)	24	18732314	18734559	2246	1	ENSDARG00000096479	-61816	103909750	si:dkey-4m13.3	si:dkey-4m13.3	61816
chr4	9485775	9486222	448	*	1.94086	1.94086	0	Exon (ENSDART00000030738/ENSDARG00000025859, exon 2 of 14)	4	9477584	9501930	24347	1	ENSDARG00000025859	8191	407708	lmf2b	lipase maturation factor 2b	8191
chr1	42937377	42937816	440	*	1.94704	1.94704	0	Distal Intergenic	1	42817191	42913974	96784	2	ENSDARG00000107524	-23403	NA	NA	NA	23403
chr13	24370233	24370670	438	*	1.94779	1.94779	0	Promoter (<=1kb)	13	24370513	24394095	23583	1	ENSDARG00000055530	0	368888	sertad2b	SERTA domain containing 2b	0
chr14	50064769	50065200	432	*	1.95218	1.95218	0	Intron (ENSDART00000021260/ENSDARG00000014233, intron 4 of 9)	14	50052433	50075400	22968	2	ENSDARG00000014233	10200	571702	sept8b	septin 8b	10200
chr12	4345975	4346402	428	*	1.955	1.955	0	Intron (ENSDART00000152168/ENSDARG00000045947, intron 2 of 5)	12	4323996	4334097	10102	2	ENSDARG00000087756	-11878	108191769	si:ch211-173d10.4	si:ch211-173d10.4	11878
chr14	150140	150567	428	*	1.955	1.955	0	Promoter (<=1kb)	14	150838	158517	7680	1	ENSDARG00000101180	-271	192333	mcm7	minichromosome maintenance complex component 7	271
chr23	45081466	45081893	428	*	1.95569	1.95569	0	Promoter (<=1kb)	23	45076076	45082118	6043	2	ENSDARG00000095832	225	100331574	si:ch73-269m23.4	si:ch73-269m23.4	225
chr5	44407527	44407954	428	*	1.95569	1.95569	0	Promoter (<=1kb)	5	44407809	44410963	3155	1	ENSDARG00000015072	0	30129	dmrt2a	doublesex and mab-3 related transcription factor 2a	0
chr1	58183218	58183637	420	*	1.96105	1.96105	0	Promoter (<=1kb)	1	58161454	58183375	21922	2	ENSDARG00000103054	0	NA	NA	NA	0
chr25	5165498	5165913	416	*	1.9636	1.9636	0	Exon (ENSDART00000169540/ENSDARG00000101164, exon 2 of 9)	25	5162128	5172508	10381	1	ENSDARG00000101164	3370	492779	nansb	N-acetylneuraminic acid synthase b	3370
chr7	26437845	26438254	410	*	1.96727	1.96727	0	Promoter (<=1kb)	7	26438058	26466929	28872	1	ENSDARG00000019098	0	324098	cd82a	CD82 molecule a	0
chr20	5183635	5184042	408	*	1.96786	1.96786	0	Promoter (<=1kb)	20	5113249	5185006	71758	2	ENSDARG00000079555	964	436901	ccdc85cb	coiled-coil domain containing 85C, b	964
chr14	32993466	32993871	406	*	1.96961	1.96961	0	Promoter (<=1kb)	14	32991459	32993751	2293	2	ENSDARG00000036316	0	415168	rpl39	ribosomal protein L39	0
chr20	22293307	22293708	402	*	1.97186	1.97186	0	Promoter (<=1kb)	20	22286624	22293517	6894	2	ENSDARG00000034600	0	324501	tmem165	transmembrane protein 165	0
chr4	56419910	56420303	394	*	1.97561	1.97561	0	Intron (ENSDART00000168408/ENSDARG00000098707, intron 9 of 9)	4	56379570	56382494	2925	2	ENSDARG00000102931	-37416	NA	NA	NA	37416
chr9	29232770	29233163	394	*	1.97561	1.97561	0	Intron (ENSDART00000148398/ENSDARG00000075285, intron 1 of 3)	9	29229640	29249608	19969	1	ENSDARG00000075285	3130	100536317	mrasa	muscle RAS oncogene homolog a	3130
chr25	19773641	19774032	392	*	1.97663	1.97663	0	Promoter (<=1kb)	25	19772652	19838647	65996	1	ENSDARG00000045506	989	326055	gramd4b	GRAM domain containing 4b	989
chr1	34839546	34839931	386	*	1.98003	1.98003	0	Intron (ENSDART00000140724/ENSDARG00000037018, intron 3 of 11)	1	34762810	34877632	114823	1	ENSDARG00000037018	76736	406666	gab1	GRB2-associated binding protein 1	76736
chr2	20590949	20591332	384	*	1.9805	1.9805	0	Distal Intergenic	2	20604507	20665929	61423	2	ENSDARG00000057209	74597	100006660	plppr5a	phospholipid phosphatase related 5a	74597
chr7	60031689	60032068	380	*	1.98274	1.98274	0	Intron (ENSDART00000098563/ENSDARG00000068246, intron 1 of 33)	7	59951153	60046639	95487	2	ENSDARG00000068246	14571	100001532	plcb3	phospholipase C, beta 3 (phosphatidylinositol-specific)	14571
chr15	9616655	9617032	378	*	1.98317	1.98317	0	Promoter (<=1kb)	15	9463638	9617461	153824	2	ENSDARG00000105120	429	564517	gab2	GRB2-associated binding protein 2	429
chr24	26069484	26069859	376	*	1.98402	1.98402	0	Distal Intergenic	24	26087659	26091537	3879	2	ENSDARG00000106237	21678	NA	NA	NA	21678
chr21	1688521	1688892	372	*	1.98565	1.98565	0	Intron (ENSDART00000127348/ENSDARG00000090387, intron 3 of 5)	21	1672408	1716335	43928	2	ENSDARG00000090387	27443	100000073	onecut2	one cut homeobox 2	27443
chr21	30156833	30157204	372	*	1.98565	1.98565	0	Promoter (<=1kb)	21	30149705	30155987	6283	2	ENSDARG00000107443	-846	NA	NA	NA	846
chr24	2426832	2427203	372	*	1.98604	1.98604	0	Intron (ENSDART00000093331/ENSDARG00000063701, intron 1 of 11)	24	2350529	2454270	103742	2	ENSDARG00000063701	27067	338237	rreb1a	ras responsive element binding protein 1a	27067
chr8	2375568	2375935	368	*	1.9872	1.9872	0	Promoter (<=1kb)	8	2354040	2375744	21705	2	ENSDARG00000003695	0	406529	vdac3	voltage-dependent anion channel 3	0
chr18	21058391	21058758	368	*	1.98757	1.98757	0	Promoter (<=1kb)	18	20892396	21058514	166119	2	ENSDARG00000027423	0	245701	igf1ra	insulin-like growth factor 1a receptor	0
chr5	51950362	51950727	366	*	1.98794	1.98794	0	Promoter (<=1kb)	5	51950257	51975361	25105	1	ENSDARG00000102338	105	561820	ptar1	protein prenyltransferase alpha subunit repeat containing 1	105
chr6	36646904	36647269	366	*	1.98794	1.98794	0	Distal Intergenic	6	36573189	36574950	1762	2	ENSDARG00000006514	-71954	30288	her6	hairy-related 6	71954
chr14	41168411	41168772	362	*	1.98969	1.98969	0	Exon (ENSDART00000149244/ENSDARG00000056018, exon 22 of 25)	14	41151003	41162886	11884	1	ENSDARG00000038508	17408	317643	chrnb3b	cholinergic receptor nicotinic beta 3 subunit b	17408
chr15	37687946	37688305	360	*	1.99035	1.99035	0	Promoter (<=1kb)	15	37688113	37698090	9978	1	ENSDARG00000053950	0	550587	lin37	lin-37 DREAM MuvB core complex component	0
chr23	44795182	44795539	358	*	1.99068	1.99068	0	Promoter (<=1kb)	23	44795344	44807255	11912	1	ENSDARG00000039007	0	378963	eno3	enolase 3, (beta, muscle)	0
chr6	4067546	4067901	356	*	1.99131	1.99131	0	Promoter (<=1kb)	6	4024088	4067699	43612	2	ENSDARG00000102471	0	560810	trak2	trafficking protein, kinesin binding 2	0
chr4	47789599	47789954	356	*	1.99161	1.99161	0	Promoter (1-2kb)	4	47790449	47791690	1242	2	ENSDARG00000097059	1736	NA	NA	NA	1736
chr21	10983285	10983638	354	*	1.99221	1.99221	0	Promoter (<=1kb)	21	10983499	11043335	59837	1	ENSDARG00000016570	0	407651	prlra	prolactin receptor a	0
chr14	46421215	46421566	352	*	1.99279	1.99279	0	Intron (ENSDART00000173142/ENSDARG00000075727, intron 1 of 4)	14	46419007	46435486	16480	1	ENSDARG00000075727	2208	100330105	map1lc3cl	microtubule-associated protein 1 light chain 3 gamma, like	2208
chr22	33177209	33177560	352	*	1.99279	1.99279	0	Promoter (<=1kb)	22	33177320	33240231	62912	1	ENSDARG00000016153	0	286829	dag1	dystroglycan 1	0
chr13	49527099	49527448	350	*	1.99307	1.99307	0	Promoter (<=1kb)	13	49527190	49536485	9296	1	ENSDARG00000106801	0	NA	NA	NA	0
chr19	24333759	24334108	350	*	1.99307	1.99307	0	Promoter (<=1kb)	19	24313443	24333913	20471	2	ENSDARG00000057234	0	321491	chtopa	chromatin target of PRMT1a	0
chr5	60937500	60937849	350	*	1.99307	1.99307	0	Intron (ENSDART00000141323/ENSDARG00000035150, intron 1 of 2)	5	60916569	60924727	8159	2	ENSDARG00000095635	-12773	555591	drll.3	draculin-like, tandem duplicate 3	12773
chr2	49776446	49776795	350	*	1.99334	1.99334	0	3' UTR	2	49787948	49835074	47127	1	ENSDARG00000092810	-11153	327172	stap2a	signal transducing adaptor family member 2a	11153
chr9	11291946	11292295	350	*	1.99334	1.99334	0	Promoter (<=1kb)	9	11274759	11292025	17267	2	ENSDARG00000078392	0	100331155	chpfa	chondroitin polymerizing factor a	0
chr6	37535008	37535355	348	*	1.99387	1.99387	0	Promoter (<=1kb)	6	37500871	37535239	34369	2	ENSDARG00000019614	0	322209	jade3	jade family PHD finger 3	0
chr15	9813036	9813379	344	*	1.99463	1.99463	0	Distal Intergenic	15	9790329	9797678	7350	1	ENSDARG00000087018	22707	NA	NA	NA	22707
chr2	14338530	14338869	340	*	1.99556	1.99556	0	Distal Intergenic	2	14340742	14342332	1591	2	ENSDARG00000098037	3463	100331996	LOC100331996	uncharacterized LOC100331996	3463
