seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
1	644128	644477	350	*	1.99334	1.99334	Distal Intergenic	1	654078	655715	1638	2	ENSXETG00000002403	11238	1	11238
1	651240	651899	660	*	12.8889	12.8889	Distal Intergenic	1	654078	655715	1638	2	ENSXETG00000002403	3816	9	3816
1	1186149	1186490	342	*	2.99511	2.99511	Distal Intergenic	1	708995	709161	167	2	ENSXETG00000040274	-476988	2	476988
1	2791035	2791334	300	*	1	1	Distal Intergenic	1	3201002	4109192	908191	1	ENSXETG00000040099	-409668	0	409668
1	4312900	4313245	346	*	6.9895	6.9895	Distal Intergenic	1	4854173	4871331	17159	2	ENSXETG00000001690	558086	6	558086
1	5081703	5082298	596	*	6.52048	6.52048	Distal Intergenic	1	5089262	5089558	297	1	ENSXETG00000041101	-6964	6	6964
1	5635975	5636332	358	*	5.98333	5.98333	Promoter (<=1kb)	1	5560406	5635178	74773	2	ENSXETG00000010368	-797	6	797
1	6144619	6145142	524	*	7.87645	7.87645	Distal Intergenic	1	6183021	6191637	8617	2	ENSXETG00000032111	46495	7	46495
1	6186107	6186474	368	*	2.98995	2.98995	Intron (ENSXETT00000060167/ENSXETG00000032111, intron 2 of 3)	1	6183021	6191637	8617	2	ENSXETG00000032111	5163	2	5163
1	6196918	6197891	974	*	29.159	29.159	Promoter (<=1kb)	1	6197179	6264663	67485	1	ENSXETG00000017982	0	9	0
1	6719453	6719776	324	*	2.9984	2.9984	Distal Intergenic	1	6386522	6432783	46262	2	ENSXETG00000017977	-286670	3	286670
1	7562675	7563204	530	*	8.78003	8.78003	Promoter (<=1kb)	1	7483448	7562631	79184	2	ENSXETG00000004357	-44	7	44
1	7568897	7569196	300	*	1	1	Distal Intergenic	1	7483448	7562631	79184	2	ENSXETG00000004357	-6266	0	6266
1	7605236	7606089	854	*	13.3544	13.3544	Promoter (<=1kb)	1	7605044	7666223	61180	1	ENSXETG00000004348	192	9	192
1	7612924	7613511	588	*	14.4875	14.4875	Intron (ENSXETT00000009477/ENSXETG00000004348, intron 1 of 36)	1	7605044	7666223	61180	1	ENSXETG00000004348	7880	9	7880
1	7762721	7763494	774	*	32.3394	32.3413	Promoter (<=1kb)	1	7762487	7834886	72400	1	ENSXETG00000014645	234	9	234
1	7763938	7764401	464	*	1.95404	2.07747	Promoter (1-2kb)	1	7762487	7834886	72400	1	ENSXETG00000014645	1451	2	1451
1	8038436	8039661	1226	*	29.5071	29.7229	Promoter (<=1kb)	1	8038579	8051204	12626	1	ENSXETG00000025676	0	9	0
1	8041070	8042101	1032	*	4.41352	4.41352	Intron (ENSXETT00000006619/ENSXETG00000025676, intron 1 of 3)	1	8038579	8051204	12626	1	ENSXETG00000025676	2491	4	2491
