seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	group	absDistToTSS
1	1518611	1519540	930	*	19.4542	19.4542	Distal Intergenic	1	975674	983259	7586	2	ENSCJAG00000003187	-535352	100386103	SLITRK6	SLIT and NTRK like family member 6	3	535352
1	2859666	2860629	964	*	38.1564	38.2167	Promoter (<=1kb)	1	2861539	2868512	6974	1	ENSCJAG00000003189	-910	NA	NA	NA	8	910
1	2860790	2862017	1228	*	39.9405	39.9741	Promoter (<=1kb)	1	2861539	2868512	6974	1	ENSCJAG00000003189	0	NA	NA	NA	8	0
1	6510537	6512122	1586	*	65.6686	65.9482	Promoter (<=1kb)	1	6511186	6518416	7231	1	ENSCJAG00000003206	0	NA	NA	NA	9	0
1	6512237	6513328	1092	*	42.3283	42.3441	Promoter (1-2kb)	1	6514373	6514456	84	1	ENSCJAG00000023458	-1045	NA	NA	NA	8	1045
1	6561822	6562485	664	*	20.7199	20.7199	Distal Intergenic	1	6515083	6515162	80	1	ENSCJAG00000029449	46739	NA	NA	NA	3	46739
1	6921270	6922121	852	*	17.4591	17.4591	Distal Intergenic	1	6871553	6902790	31238	1	ENSCJAG00000003211	49717	NA	NA	NA	2	49717
1	7699315	7699942	628	*	14.2469	14.2469	Distal Intergenic	1	7203730	7203854	125	1	ENSCJAG00000033936	495585	NA	NA	NA	1	495585
1	8108203	8108968	766	*	16.402	16.402	Distal Intergenic	1	8553222	8554501	1280	2	ENSCJAG00000003223	445533	NA	NA	NA	2	445533
1	8328215	8329792	1578	*	52.1184	53.4295	Distal Intergenic	1	8553222	8554501	1280	2	ENSCJAG00000003223	224709	NA	NA	NA	9	224709
1	9161793	9162762	970	*	20.5573	20.5573	Intron (ENSCJAT00000006182/ENSCJAG00000003215, intron 3 of 8)	1	8930391	9527184	596794	1	ENSCJAG00000003215	231402	100388614	GPC6	glypican 6	3	231402
1	9172290	9173033	744	*	9.54466	9.54466	Intron (ENSCJAT00000006182/ENSCJAG00000003215, intron 3 of 8)	1	8930391	9527184	596794	1	ENSCJAG00000003215	241899	100388614	GPC6	glypican 6	0	241899
1	9242180	9242861	682	*	10.4914	10.4914	Intron (ENSCJAT00000006182/ENSCJAG00000003215, intron 4 of 8)	1	8930391	9527184	596794	1	ENSCJAG00000003215	311789	100388614	GPC6	glypican 6	0	311789
1	9667046	9668563	1518	*	44.0752	44.5238	Distal Intergenic	1	9694345	9713318	18974	2	ENSCJAG00000003252	44755	NA	NA	NA	9	44755
1	9712719	9713794	1076	*	18.2368	18.2368	Promoter (<=1kb)	1	9694345	9713318	18974	2	ENSCJAG00000003252	0	NA	NA	NA	2	0
1	9719461	9721016	1556	*	45.3212	45.5941	Promoter (<=1kb)	1	9720100	9748080	27981	1	ENSCJAG00000003277	0	NA	NA	NA	9	0
1	9727418	9728235	818	*	23.0044	23.0044	Intron (ENSCJAT00000006309/ENSCJAG00000003277, intron 2 of 8)	1	9720100	9748080	27981	1	ENSCJAG00000003277	7318	NA	NA	NA	4	7318
1	9826108	9827659	1552	*	44.914	45.9785	Distal Intergenic	1	9830611	9831441	831	2	ENSCJAG00000003296	3782	NA	NA	NA	9	3782
1	9830354	9831055	702	*	33.2066	33.2066	Promoter (<=1kb)	1	9830611	9831441	831	2	ENSCJAG00000003296	386	NA	NA	NA	7	386
1	9832381	9833338	958	*	33.1424	33.1424	Promoter (<=1kb)	1	9830611	9831441	831	2	ENSCJAG00000003296	-940	NA	NA	NA	7	940
1	9836993	9837682	690	*	19.0264	19.0264	Distal Intergenic	1	9830611	9831441	831	2	ENSCJAG00000003296	-5552	NA	NA	NA	3	5552
1	9921704	9922739	1036	*	19.3586	19.3586	Distal Intergenic	1	9830611	9831441	831	2	ENSCJAG00000003296	-90263	NA	NA	NA	3	90263
1	9947922	9948563	642	*	12.3193	12.3193	Distal Intergenic	1	9830611	9831441	831	2	ENSCJAG00000003296	-116481	NA	NA	NA	1	116481
1	9980985	9982128	1144	*	28.2436	28.2436	Distal Intergenic	1	9830611	9831441	831	2	ENSCJAG00000003296	-149544	NA	NA	NA	5	149544
1	10062827	10063506	680	*	13.7461	13.7461	Distal Intergenic	1	10138589	10138691	103	1	ENSCJAG00000034796	-75083	118148320	LOC118148320	U6 spliceosomal RNA	1	75083
1	10086378	10086985	608	*	12.2312	12.2312	Distal Intergenic	1	10138589	10138691	103	1	ENSCJAG00000034796	-51604	118148320	LOC118148320	U6 spliceosomal RNA	0	51604
1	10307676	10308265	590	*	9.48753	9.48753	Intron (ENSCJAT00000006416/ENSCJAG00000003300, intron 9 of 30)	1	10335355	10335467	113	1	ENSCJAG00000025810	-27090	NA	NA	NA	0	27090
1	10532396	10533021	626	*	17.9351	17.9351	Distal Intergenic	1	10482970	10483433	464	1	ENSCJAG00000003358	49426	NA	NA	NA	2	49426
1	10738135	10738758	624	*	22.8615	22.8615	Intron (ENSCJAT00000006505/ENSCJAG00000003362, intron 11 of 20)	1	10717713	10777791	60079	2	ENSCJAG00000003362	39033	NA	NA	NA	4	39033
1	10777297	10778256	960	*	23.7299	23.7299	Promoter (<=1kb)	1	10717713	10777791	60079	2	ENSCJAG00000003362	0	NA	NA	NA	4	0
1	10813141	10814656	1516	*	50.1642	50.5353	Promoter (<=1kb)	1	10813879	10894552	80674	1	ENSCJAG00000003402	0	100392848	CLDN10	claudin 10	9	0
1	11147539	11148988	1450	*	26.5474	26.5474	Promoter (<=1kb)	1	10904231	11148487	244257	2	ENSCJAG00000003433	0	100394295	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2	5	0
1	12131225	12131818	594	*	9.72335	9.72335	Distal Intergenic	1	12096244	12105837	9594	2	ENSCJAG00000022870	-25388	NA	NA	NA	0	25388
1	12217496	12218241	746	*	25.0177	25.0177	Distal Intergenic	1	12252732	12502104	249373	1	ENSCJAG00000004294	-34491	100406764	MBNL2	muscleblind like splicing regulator 2	5	34491
1	12324956	12325781	826	*	14.5741	14.5741	5' UTR	1	12252732	12502104	249373	1	ENSCJAG00000004294	72224	100406764	MBNL2	muscleblind like splicing regulator 2	1	72224
1	12345730	12346705	976	*	25.6807	25.6807	Intron (ENSCJAT00000008228/ENSCJAG00000004294, intron 2 of 7)	1	12252732	12502104	249373	1	ENSCJAG00000004294	92998	100406764	MBNL2	muscleblind like splicing regulator 2	5	92998
1	12347543	12348238	696	*	12.7641	12.7642	Intron (ENSCJAT00000008228/ENSCJAG00000004294, intron 2 of 7)	1	12252732	12502104	249373	1	ENSCJAG00000004294	94811	100406764	MBNL2	muscleblind like splicing regulator 2	1	94811
1	12412279	12413176	898	*	18.7055	18.7055	Intron (ENSCJAT00000008228/ENSCJAG00000004294, intron 3 of 7)	1	12469811	12469917	107	2	ENSCJAG00000034395	56741	NA	NA	NA	3	56741
1	12466033	12466676	644	*	13.5404	13.5404	Intron (ENSCJAT00000008228/ENSCJAG00000004294, intron 7 of 7)	1	12469811	12469917	107	2	ENSCJAG00000034395	3241	NA	NA	NA	1	3241
1	12473971	12474608	638	*	13.2984	13.2984	Exon (ENSCJAT00000008231/ENSCJAG00000004294, exon 9 of 9)	1	12470053	12470144	92	2	ENSCJAG00000027291	-3827	NA	NA	NA	1	3827
1	12542624	12544147	1524	*	33.1414	33.622	Promoter (1-2kb)	1	12545789	12580125	34337	1	ENSCJAG00000004316	-1642	NA	NA	NA	7	1642
1	12545906	12546575	670	*	9.57863	9.57863	Promoter (<=1kb)	1	12545789	12580125	34337	1	ENSCJAG00000004316	117	NA	NA	NA	0	117
1	12580234	12580913	680	*	16.8001	16.8001	Downstream (<=300bp)	1	12545789	12580125	34337	1	ENSCJAG00000004316	34445	NA	NA	NA	2	34445
1	12617435	12618342	908	*	14.2013	14.2013	Distal Intergenic	1	12545789	12580125	34337	1	ENSCJAG00000004316	71646	NA	NA	NA	1	71646
1	12779367	12780072	706	*	12.8282	12.8282	Distal Intergenic	1	12892402	12892519	118	2	ENSCJAG00000024399	112447	NA	NA	NA	1	112447
1	12896225	12897192	968	*	31.429	31.429	Distal Intergenic	1	12892402	12892519	118	2	ENSCJAG00000024399	-3706	NA	NA	NA	6	3706
1	13100945	13101946	1002	*	21.6104	21.8155	Intron (ENSCJAT00000008513/ENSCJAG00000004323, intron 3 of 28)	1	13087849	13087989	141	1	ENSCJAG00000027745	13096	NA	NA	NA	4	13096
1	13102099	13103314	1216	*	58.9671	58.9842	5' UTR	1	13087849	13087989	141	1	ENSCJAG00000027745	14250	NA	NA	NA	9	14250
1	13643769	13644568	800	*	22.7776	22.7776	Intron (ENSCJAT00000008722/ENSCJAG00000004508, intron 3 of 13)	1	13609838	13747400	137563	2	ENSCJAG00000004508	102832	100406397	STK24	serine/threonine kinase 24	4	102832
1	13693118	13694295	1178	*	36.2381	36.2381	Intron (ENSCJAT00000013688/ENSCJAG00000004508, intron 1 of 12)	1	13609838	13747400	137563	2	ENSCJAG00000004508	53105	100406397	STK24	serine/threonine kinase 24	7	53105
1	13746841	13748342	1502	*	65.0189	65.4303	Promoter (<=1kb)	1	13609838	13747400	137563	2	ENSCJAG00000004508	0	100406397	STK24	serine/threonine kinase 24	9	0
1	13993940	13994491	552	*	12.6421	12.6421	Intron (ENSCJAT00000041146/ENSCJAG00000020855, intron 38 of 54)	1	14026033	14026167	135	1	ENSCJAG00000030265	-31542	NA	NA	NA	1	31542
1	14075049	14076034	986	*	23.5203	23.5203	5' UTR	1	14104256	14104988	733	2	ENSCJAG00000020945	28954	NA	NA	NA	4	28954
1	14083657	14084580	924	*	22.7336	22.7336	5' UTR	1	14104256	14104988	733	2	ENSCJAG00000020945	20408	NA	NA	NA	4	20408
1	14131577	14132694	1118	*	25.7373	25.7373	5' UTR	1	14104256	14104988	733	2	ENSCJAG00000020945	-26589	NA	NA	NA	5	26589
1	14341782	14343357	1576	*	38.9902	39.1291	Promoter (<=1kb)	1	14342292	14540448	198157	1	ENSCJAG00000020946	0	100386938	UBAC2	UBA domain containing 2	8	0
