seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
I	10976	11721	746	*	48.9963	48.9963	5' UTR	1	10413	16842	6430	1	Y74C9A.2	563	8	563
I	26933	27378	446	*	14.8146	14.8146	Promoter	1	17483	26781	9299	2	Y74C9A.4	-152	3	152
I	33578	34241	664	*	20.5637	20.5639	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-1096	4	1096
I	35109	35684	576	*	27.115	27.1152	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-2627	5	2627
I	39710	40213	504	*	4.80102	4.80102	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-3520	0	3520
I	41762	42447	686	*	16.3543	16.4647	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-1286	3	1286
I	42826	43373	548	*	25.8523	25.9592	Promoter	1	43733	44677	945	1	Y74C9A.1	-360	5	360
I	44970	45339	370	*	1.98682	1.98682	Downstream (<=300bp)	1	43733	44677	945	1	Y74C9A.1	1237	0	1237
I	56337	57390	1054	*	32.1324	32.1324	Exon (Y48G1C.5/Y48G1C.5, exon 7 of 12)	1	49919	54426	4508	1	Y48G1C.4	6418	6	6418
I	69708	70505	798	*	27.6949	27.6949	Distal Intergenic	1	71858	81071	9214	1	Y48G1C.2	-1353	6	1353
I	85767	86724	958	*	22.5799	22.5799	Promoter	1	84990	86284	1295	2	Y48G1C.6	0	5	0
I	107459	109721	2263	*	67.1617	67.3139	Promoter	1	101213	108161	6949	2	Y48G1C.8	0	9	0
I	110260	110947	688	*	35.4955	35.5028	Promoter	1	110576	110724	149	1	F53G12.15	0	7	0
I	111780	113231	1452	*	47.9101	48.4828	Promoter	1	112383	113672	1290	1	F53G12.13	0	8	0
I	116337	116940	604	*	16.8539	16.8539	Exon (F53G12.7/F53G12.7, exon 2 of 4)	1	115739	117502	1764	1	F53G12.7	598	3	598
I	120792	121211	420	*	14.8948	14.8948	Exon (F53G12.6/F53G12.6, exon 7 of 7)	1	118104	120870	2767	1	F53G12.6	2688	3	2688
I	122363	122718	356	*	6.97687	6.9769	Distal Intergenic	1	118104	120870	2767	1	F53G12.6	4259	1	4259
I	128087	128716	630	*	21.7516	21.789	5' UTR	1	127297	134271	6975	1	F53G12.5	790	4	790
I	130196	131221	1026	*	125.241	125.349	Intron (F53G12.5b/F53G12.5, intron 5 of 7)	1	127297	134271	6975	1	F53G12.5	2899	9	2899
I	149166	149861	696	*	5.77592	5.77592	Exon (F56C11.1/F56C11.1, exon 12 of 19)	1	145236	145627	392	2	F53G12.11	-3539	0	3539
I	155863	156400	538	*	9.76925	9.76925	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-1013	1	1013
I	159176	159651	476	*	28.7188	28.7188	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-4326	6	4326
I	166726	167309	584	*	18.2784	18.2784	Promoter	1	160172	166819	6648	2	F56C11.2	0	4	0
I	169662	169961	300	*	1	1	Distal Intergenic	1	160172	166819	6648	2	F56C11.2	-2843	0	2843
I	172694	173171	478	*	15.7926	15.9319	Promoter	1	173412	175991	2580	1	F56C11.6	-241	3	241
I	178172	178697	526	*	15.8111	15.8111	Promoter	1	178538	182159	3622	1	F56C11.5	0	3	0
I	180017	180642	626	*	18.7758	18.7758	5' UTR	1	178538	182159	3622	1	F56C11.5	1479	4	1479
I	181689	182120	432	*	2.96403	2.96405	3' UTR	1	182079	182771	693	2	F56C11.3	651	0	651
I	228375	229028	654	*	3.72268	3.79516	Distal Intergenic	1	221064	221575	512	2	Y48G1BL.6	-6800	0	6800
I	229815	231314	1500	*	42.2096	42.7577	Distal Intergenic	1	231574	238252	6679	2	Y48G1BM.6	6938	8	6938
I	231707	232342	636	*	8.81606	8.81742	Exon (Y48G1BM.6/Y48G1BM.6, exon 12 of 12)	1	231574	238252	6679	2	Y48G1BM.6	5910	1	5910
I	257791	258190	400	*	18.9081	18.9081	5' UTR	1	254709	258692	3984	2	Y48G1BM.9	502	4	502
I	275412	275977	566	*	21.5454	21.5454	Distal Intergenic	1	272607	272627	21	2	C53D5.7	-2785	4	2785
I	288961	289428	468	*	35.8297	35.8297	Promoter	1	286089	289139	3051	2	C53D5.4	0	7	0
I	295821	296632	812	*	88.5005	88.5005	5' UTR	1	291216	305473	14258	1	C53D5.1	4605	9	4605
I	299193	300272	1080	*	49.9289	49.9289	Intron (C53D5.1c.1/C53D5.1, intron 2 of 7)	1	291216	305473	14258	1	C53D5.1	7977	8	7977
I	310737	311360	624	*	14.2763	14.2763	Promoter	1	305811	310888	5078	2	C53D5.5	0	3	0
I	314979	315556	578	*	10.7293	10.7293	Promoter	1	310981	314992	4012	2	C53D5.6	0	2	0
I	341190	341553	364	*	13.9759	13.9759	Distal Intergenic	1	347465	348361	897	1	Y48G1A.2	-5912	3	5912
I	360597	361070	474	*	1.91857	1.91857	Exon (R119.1/R119.1, exon 5 of 8)	1	357239	363904	6666	2	R119.1	2834	0	2834
I	378384	379821	1438	*	39.1534	39.1803	Promoter	1	373350	379078	5729	2	R119.3	0	7	0
I	381188	381907	720	*	50.7852	51.2153	Promoter	1	377478	381907	4430	2	R119.4	0	8	0
I	382070	382829	760	*	31.3651	32.0352	Promoter	1	382836	388850	6015	1	R119.6	-7	6	7
I	395096	395609	514	*	21.0648	21.0648	Distal Intergenic	1	388510	394418	5909	2	R119.5	-678	4	678
I	397568	398487	920	*	38.6276	38.6276	Distal Intergenic	1	398894	412513	13620	1	Y50C1A.1	-407	7	407
I	426753	427080	328	*	9.99231	9.99231	Distal Intergenic	1	420925	423721	2797	1	C07F11.2	5828	1	5828
I	429014	429643	630	*	49.6349	49.6349	Distal Intergenic	1	420925	423721	2797	1	C07F11.2	8089	8	8089
I	433248	433987	740	*	41.5397	41.5397	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-10015	7	10015
I	438007	438310	304	*	1.99996	1.99996	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-5692	0	5692
I	441651	442132	482	*	36.6364	36.6368	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-1870	7	1870
I	443030	443455	426	*	9.91188	9.91353	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-547	1	547
I	484300	484907	608	*	15.9149	15.9149	Exon (W04C9.6/W04C9.6, exon 8 of 10)	1	482482	487993	5512	2	W04C9.6	3086	3	3086
I	491622	492029	408	*	3.97891	3.97891	Exon (W04C9.1/W04C9.1, exon 4 of 10)	1	489987	496157	6171	1	W04C9.1	1635	0	1635
I	509226	509601	376	*	20.968	20.968	Exon (Y65B4BL.7/Y65B4BL.7, exon 3 of 4)	1	508853	510840	1988	2	Y65B4BL.7	1239	4	1239
I	516575	517216	642	*	72.8562	72.8572	Promoter	1	511018	516459	5442	2	Y65B4BL.5	-116	9	116
I	517907	518968	1062	*	51.0971	51.0974	Distal Intergenic	1	511018	516459	5442	2	Y65B4BL.5	-1448	8	1448
I	521248	521885	638	*	17.3488	17.3488	Promoter	1	520116	521557	1442	2	Y65B4BL.6	0	3	0
I	524372	524965	594	*	48.1271	48.1271	Distal Intergenic	1	526051	526142	92	2	Y65B4BL.8	1177	8	1177
I	526891	528368	1478	*	31.5098	31.5098	Distal Intergenic	1	526051	526142	92	2	Y65B4BL.8	-749	6	749
I	529870	530891	1022	*	57.3165	57.8473	Promoter	1	530569	532855	2287	1	Y65B4BL.1	0	9	0
I	536342	537213	872	*	26.6786	26.6786	Promoter	1	536807	536934	128	2	Y65B4BR.10	0	5	0
I	542151	542562	412	*	2.97099	2.97099	3' UTR	1	537125	542200	5076	1	Y65B4BR.4	5026	0	5026
I	545270	545921	652	*	30.6721	30.6721	Distal Intergenic	1	550711	556685	5975	1	Y65B4BR.3	-4790	6	4790
I	547019	547382	364	*	9.96298	9.96304	Distal Intergenic	1	550711	556685	5975	1	Y65B4BR.3	-3329	1	3329
I	549018	549647	630	*	9.83217	9.83217	Distal Intergenic	1	550711	556685	5975	1	Y65B4BR.3	-1064	1	1064
I	555091	555992	902	*	28.9412	28.9413	Exon (Y65B4BR.3/Y65B4BR.3, exon 6 of 9)	1	553661	553788	128	1	Y65B4BR.11	1430	6	1430
I	556765	557466	702	*	3.58994	3.59022	Promoter	1	557434	561674	4241	1	Y65B4BR.2	0	0	0
I	562877	563324	448	*	7.91278	7.91278	Promoter	1	562739	565184	2446	1	Y65B4BR.1	138	1	138
I	573902	575445	1544	*	75.5232	76.5824	Promoter	1	572180	575122	2943	2	Y65B4BR.6	0	9	0
I	606537	606912	376	*	1.98443	1.98443	Exon (F56A6.2/F56A6.2, exon 2 of 30)	1	585823	607574	21752	2	F56A6.2	662	0	662
I	663412	663923	512	*	6.87073	6.87073	Promoter	1	659093	663597	4505	2	Y65B4A.8	0	1	0
I	703050	703545	496	*	5.86657	5.86657	Exon (Y18H1A.3/Y18H1A.3, exon 9 of 11)	1	694979	698330	3352	2	Y18H1A.2	-4720	0	4720
I	716577	717084	508	*	10.7924	10.7924	Distal Intergenic	1	700277	715853	15577	2	Y18H1A.3	-724	2	724
I	719760	720259	500	*	50.5175	50.5175	Promoter	1	720014	731085	11072	1	Y18H1A.6	0	8	0
I	737285	737584	300	*	1	1	Distal Intergenic	1	731983	736555	4573	2	Y18H1A.15	-730	0	730
I	756728	757871	1144	*	39.4636	39.4636	Promoter	1	757539	757621	83	1	Y18H1A.16	0	7	0
I	762877	763906	1030	*	54.2049	54.2049	Promoter	1	763628	770723	7096	1	T06A4.3	0	9	0
I	775046	775613	568	*	14.5233	14.5233	Exon (T06A4.1b/T06A4.1, exon 8 of 10)	1	774442	774587	146	2	T06A4.4	-459	3	459
I	796427	796922	496	*	2.9079	2.9079	Promoter	1	797000	797298	299	2	Y73A3A.1	376	0	376
I	798251	798588	338	*	10.9951	10.9951	Distal Intergenic	1	797000	797298	299	2	Y73A3A.1	-953	2	953
I	801888	802187	300	*	1	1	Promoter	1	801558	801701	144	2	Y73A3A.2	-187	0	187
I	814313	814914	602	*	6.86491	6.86492	Intron (ZC123.3/ZC123.3, intron 4 of 17)	1	815979	816029	51	1	ZC123.5	-1065	1	1065
I	815941	816616	676	*	37.2718	37.2718	Promoter	1	815979	816029	51	1	ZC123.5	0	7	0
I	819602	819985	384	*	9.93764	9.93764	Intron (ZC123.3/ZC123.3, intron 5 of 17)	1	816039	816309	271	1	ZC123.9	3563	1	3563
I	826066	826727	662	*	80.0901	80.0901	Intron (ZC123.3/ZC123.3, intron 10 of 17)	1	834419	834468	50	1	ZC123.6	-7692	9	7692
I	829266	829671	406	*	19.9832	19.9832	Intron (ZC123.3/ZC123.3, intron 12 of 17)	1	834419	834468	50	1	ZC123.6	-4748	4	4748
I	834238	835083	846	*	30.56	30.5601	Promoter	1	834419	834468	50	1	ZC123.6	0	6	0
I	835946	836457	512	*	20.3	20.3021	Distal Intergenic	1	834419	834468	50	1	ZC123.6	1527	4	1527
I	840281	841110	830	*	24.7713	24.7713	Exon (ZC123.1/ZC123.1, exon 5 of 7)	1	837999	841750	3752	1	ZC123.1	2282	5	2282
I	851395	852924	1530	*	83.1296	83.1296	Distal Intergenic	1	853454	854134	681	1	Y95B8A.8	-530	9	530
I	881083	882090	1008	*	20.9934	20.9983	Exon (Y95B8A.10a/Y95B8A.10, exon 2 of 10)	1	873484	882716	9233	2	Y95B8A.10	626	4	626
I	882544	883523	980	*	37.534	37.5398	Promoter	1	873484	882716	9233	2	Y95B8A.10	0	7	0
I	920358	920835	478	*	21.9021	21.9021	Intron (Y95B8A.12d/Y95B8A.12, intron 1 of 10)	1	916171	916320	150	1	Y95B8A.16	4187	4	4187
I	927033	928076	1044	*	10.8359	10.8359	Promoter	1	912418	926880	14463	2	Y95B8A.12	-153	2	153
I	929429	929956	528	*	49.6226	49.6226	Distal Intergenic	1	912418	926880	14463	2	Y95B8A.12	-2549	8	2549
I	934926	935455	530	*	50.9222	50.9222	Distal Intergenic	1	938486	941779	3294	1	Y95B8A.2	-3031	8	3031
I	939517	939888	372	*	13.9713	13.9713	Intron (Y95B8A.2.1/Y95B8A.2, intron 1 of 3)	1	938486	941779	3294	1	Y95B8A.2	1031	3	1031
I	943271	943570	300	*	2	2	Intron (Y95B8A.1/Y95B8A.1, intron 1 of 10)	1	942550	942655	106	2	Y95B8A.14	-616	0	616
I	945886	946555	670	*	12.4862	12.4862	Promoter	1	946030	946120	91	1	Y95B8A.13	0	2	0
I	954080	954767	688	*	45.9415	45.9472	Intron (Y34D9B.1a/Y34D9B.1, intron 1 of 8)	1	948569	957376	8808	2	Y34D9B.1	2609	8	2609
I	955791	957184	1394	*	319.549	319.911	Promoter	1	948569	957376	8808	2	Y34D9B.1	192	9	192
I	961118	961667	550	*	56.9298	56.9298	Distal Intergenic	1	948569	957376	8808	2	Y34D9B.1	-3742	9	3742
I	963847	964310	464	*	17.8476	17.8476	Exon (F54A5.2/F54A5.2, exon 7 of 8)	1	963703	969429	5727	2	F54A5.2	5119	3	5119
I	968716	969771	1056	*	9.2684	9.2684	Promoter	1	963703	969429	5727	2	F54A5.2	0	1	0
I	972675	974108	1434	*	26.9252	26.9252	Promoter	1	969106	973140	4035	2	F54A5.3	0	5	0
I	978496	978861	366	*	6.98712	7.04469	Promoter	1	979128	979277	150	1	F54A5.4	-267	1	267
I	979352	979861	510	*	6.93465	6.9898	Promoter	1	979128	979277	150	2	F54A5.5	-75	1	75
I	984951	985442	492	*	22.6186	23.3599	Distal Intergenic	1	989674	992181	2508	1	F54A5.1	-4232	5	4232
I	985762	986319	558	*	35.3115	35.6796	Distal Intergenic	1	989674	992181	2508	1	F54A5.1	-3355	7	3355
I	988810	989363	554	*	17.5955	17.5955	Promoter	1	989674	992181	2508	1	F54A5.1	-311	3	311
I	998336	999789	1454	*	54.0191	54.0191	Distal Intergenic	1	996280	996579	300	2	C54G6.7	-1757	8	1757
I	1000848	1001387	540	*	12.8161	12.8161	Distal Intergenic	1	1003892	1010768	6877	1	C54G6.2	-2505	2	2505
I	1053503	1054048	546	*	33.2435	33.2435	Promoter	1	1019579	1053648	34070	2	Y34D9A.8	0	6	0
I	1061772	1062999	1228	*	62.0989	62.0989	Promoter	1	1062296	1065272	2977	1	Y34D9A.2	0	9	0
I	1067931	1068966	1036	*	28.5017	29.0962	Promoter	1	1068594	1075013	6420	1	R06A10.2	0	6	0
I	1069172	1070705	1534	*	38.0536	39.4005	Exon (R06A10.2.1/R06A10.2, exon 2 of 8)	1	1068594	1075013	6420	1	R06A10.2	578	7	578
I	1098961	1099494	534	*	12.7094	12.7094	Distal Intergenic	1	1089669	1095799	6131	2	R06A10.4	-3162	2	3162
I	1100511	1101148	638	*	44.022	44.022	Distal Intergenic	1	1089669	1095799	6131	2	R06A10.4	-4712	8	4712
I	1156102	1157627	1526	*	12.3827	12.3827	Promoter	1	1156166	1156457	292	1	Y48G8AL.17	0	2	0
I	1228970	1229673	704	*	15.0058	15.0083	Promoter	1	1223959	1229284	5326	2	Y48G8AL.13	0	3	0
I	1230306	1230767	462	*	7.92102	7.94076	Intron (Y48G8AL.1.1/Y48G8AL.1, intron 5 of 18)	1	1223959	1229284	5326	2	Y48G8AL.13	-1022	1	1022
I	1251062	1252011	950	*	28.5768	28.5768	Promoter	1	1251254	1251324	71	2	Y48G8AL.19	0	6	0
I	1255791	1256790	1000	*	89.6326	89.6326	Intron (Y48G8AL.15/Y48G8AL.15, intron 1 of 1)	1	1254772	1258598	3827	1	Y48G8AL.15	1019	9	1019
I	1258507	1258806	300	*	6	6	3' UTR	1	1254772	1258598	3827	1	Y48G8AL.15	3735	1	3735
I	1261300	1261959	660	*	28.3175	28.3175	Intron (Y48G8AR.1/Y48G8AR.1, intron 7 of 7)	1	1259491	1268157	8667	2	Y48G8AR.1	6198	6	6198
I	1270759	1271786	1028	*	43.0552	43.0555	Distal Intergenic	1	1259491	1268157	8667	2	Y48G8AR.1	-2602	8	2602
I	1272457	1272874	418	*	9.95345	9.96546	Distal Intergenic	1	1259491	1268157	8667	2	Y48G8AR.1	-4300	1	4300
I	1273498	1274135	638	*	9.7023	9.70902	Distal Intergenic	1	1278810	1279044	235	1	Y48G8AR.7	-4675	1	4675
I	1288553	1289064	512	*	20.7398	20.7398	Distal Intergenic	1	1287306	1287961	656	1	Y48G8AR.3	1247	4	1247
I	1310920	1311443	524	*	7.87853	7.87853	Exon (K12C11.4/K12C11.4, exon 5 of 13)	1	1307482	1307626	145	2	K12C11.8	-3294	1	3294
I	1315239	1315986	748	*	47.4361	47.4395	Intron (K12C11.4/K12C11.4, intron 6 of 12)	1	1307482	1307626	145	2	K12C11.8	-7613	8	7613
I	1316661	1317408	748	*	33.5434	33.5447	Intron (K12C11.4/K12C11.4, intron 6 of 12)	1	1307482	1307626	145	2	K12C11.8	-9035	6	9035
I	1339948	1340479	532	*	14.7006	14.7006	Promoter	1	1340680	1341260	581	1	K12C11.2	-201	3	201
