seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
2L	18542	19233	692	*	9.19969	9.19969	5' UTR	1	9839	21376	11538	2	FBgn0002121	2143	6	2143
2L	21347	21964	618	*	6.31522	6.31522	Promoter	1	9839	21376	11538	2	FBgn0002121	0	4	0
2L	33565	35012	1448	*	12.5447	12.7832	Exon (FBtr0078163/FBgn0051973, exon 5 of 13)	1	21823	25155	3333	2	FBgn0031209	-8410	7	8410
2L	39469	39888	420	*	0.980199	1.05184	Exon (FBtr0078163/FBgn0051973, exon 3 of 13)	1	21823	25155	3333	2	FBgn0031209	-14314	0	14314
2L	40321	40670	350	*	2.99506	3.009	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	-14147	2	14147
2L	42724	43783	1060	*	4.34473	4.34473	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	-11034	3	11034
2L	45878	46249	372	*	6.98907	6.98907	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	-8568	4	8568
2L	53717	54016	300	*	1	1.00001	Intron (FBtr0078163/FBgn0051973, intron 2 of 12)	1	54817	55767	951	1	FBgn0267987	-801	0	801
2L	55156	55455	300	*	1	1.00001	Promoter	1	54817	55767	951	1	FBgn0267987	339	0	339
2L	58857	60196	1340	*	9.29581	9.29581	5' UTR	1	54817	55767	951	1	FBgn0267987	4040	6	4040
2L	62538	62873	336	*	1.9964	1.9964	Intron (FBtr0309226/FBgn0051973, intron 1 of 13)	1	25402	65404	40003	2	FBgn0051973	2531	0	2531
2L	66630	67747	1118	*	15.381	15.6288	Promoter	1	66482	71390	4909	1	FBgn0067779	148	8	148
2L	72414	73943	1530	*	25.5092	26.3401	Promoter	1	71039	73836	2798	2	FBgn0266322	0	9	0
2L	78942	79385	444	*	3.96211	3.96211	Distal Intergenic	1	76348	77783	1436	1	FBgn0031214	2594	2	2594
