seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
I	10976	11669	694	*	16.7781	16.7781	5' UTR	1	10413	16842	6430	1	Y74C9A.2	563	9	563
I	26907	27370	464	*	7.89827	7.89827	Promoter	1	17483	26781	9299	2	Y74C9A.4	-126	6	126
I	33578	34139	562	*	6.77027	6.7703	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-1096	4	1096
I	35103	35684	582	*	10.7349	10.7349	Distal Intergenic	1	27595	32482	4888	2	Y74C9A.5	-2621	8	2621
I	39705	40212	508	*	2.90233	2.90233	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-3521	0	3521
I	41828	42445	618	*	7.76525	7.82043	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-1288	6	1288
I	42826	43327	502	*	6.88458	6.96087	Distal Intergenic	1	43733	44677	945	1	Y74C9A.1	-406	5	406
I	44970	45339	370	*	1.98682	1.98682	Downstream (<=300bp)	1	43733	44677	945	1	Y74C9A.1	1237	0	1237
I	56362	57387	1026	*	8.10462	8.10462	Exon (Y48G1C.5/Y48G1C.5, exon 7 of 12)	1	49919	54426	4508	1	Y48G1C.4	6443	6	6443
I	69722	70575	854	*	7.83831	7.83831	Distal Intergenic	1	71858	81071	9214	1	Y48G1C.2	-1283	6	1283
I	86057	86732	676	*	4.51771	4.51771	Promoter	1	84990	86284	1295	2	Y48G1C.6	0	2	0
I	107644	109059	1416	*	10.9917	11.0129	Promoter	1	101213	108161	6949	2	Y48G1C.8	0	8	0
I	110392	110947	556	*	4.79071	4.79303	Promoter	1	110576	110724	149	1	F53G12.15	0	2	0
I	111686	113115	1430	*	5.11574	5.20797	Promoter	1	112383	113672	1290	1	F53G12.13	0	3	0
I	116337	116864	528	*	3.90095	3.90095	Exon (F53G12.7/F53G12.7, exon 2 of 4)	1	115739	117502	1764	1	F53G12.7	598	1	598
I	120792	121223	432	*	6.95383	6.95383	Exon (F53G12.6/F53G12.6, exon 7 of 7)	1	118104	120870	2767	1	F53G12.6	2688	5	2688
I	122362	122713	352	*	1.99279	1.9928	Distal Intergenic	1	118104	120870	2767	1	F53G12.6	4258	0	4258
I	128114	128741	628	*	11.4196	11.4662	5' UTR	1	127297	134271	6975	1	F53G12.5	817	8	817
I	130168	131221	1054	*	24.2798	24.3107	Intron (F53G12.5b/F53G12.5, intron 5 of 7)	1	127297	134271	6975	1	F53G12.5	2871	9	2871
I	149332	149861	530	*	1.85832	1.85832	Exon (F56C11.1/F56C11.1, exon 12 of 19)	1	145236	145627	392	2	F53G12.11	-3705	0	3705
I	155863	156362	500	*	4.9103	4.9103	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-1013	3	1013
I	159184	159679	496	*	7.86585	7.86585	Distal Intergenic	1	145968	154850	8883	2	F56C11.1	-4334	6	4334
I	166736	167309	574	*	6.72126	6.72126	Promoter	1	160172	166819	6648	2	F56C11.2	0	4	0
I	169662	169961	300	*	1	1	Distal Intergenic	1	160172	166819	6648	2	F56C11.2	-2843	0	2843
I	172694	173155	462	*	3.95457	3.97614	Promoter	1	173412	175991	2580	1	F56C11.6	-257	2	257
I	178188	178697	510	*	5.90546	5.90546	Promoter	1	178538	182159	3622	1	F56C11.5	0	4	0
I	180017	180636	620	*	8.78992	8.78992	5' UTR	1	178538	182159	3622	1	F56C11.5	1479	6	1479
I	181688	182087	400	*	1.97296	1.97298	3' UTR	1	182079	182771	693	2	F56C11.3	684	0	684
I	228375	229004	630	*	3.7287	3.75846	Distal Intergenic	1	221064	221575	512	2	Y48G1BL.6	-6800	1	6800
I	229273	230558	1286	*	9.98379	10.1657	Distal Intergenic	1	231574	238252	6679	2	Y48G1BM.6	7694	7	7694
I	231707	232296	590	*	2.82649	2.82686	Exon (Y48G1BM.6/Y48G1BM.6, exon 12 of 12)	1	231574	238252	6679	2	Y48G1BM.6	5956	0	5956
I	257792	258185	394	*	4.97685	4.97685	5' UTR	1	254709	258692	3984	2	Y48G1BM.9	507	3	507
I	275446	275977	532	*	4.84804	4.84804	Distal Intergenic	1	272607	272627	21	2	C53D5.7	-2819	2	2819
I	288962	289453	492	*	6.90496	6.90496	Promoter	1	286089	289139	3051	2	C53D5.4	0	5	0
I	295821	296658	838	*	13.1678	13.1678	5' UTR	1	291216	305473	14258	1	C53D5.1	4605	9	4605
I	299357	300272	916	*	12.0606	12.0606	Intron (C53D5.1c.1/C53D5.1, intron 2 of 7)	1	291216	305473	14258	1	C53D5.1	8141	8	8141
I	310693	311360	668	*	7.44832	7.44832	Promoter	1	305811	310888	5078	2	C53D5.5	0	5	0
I	314979	315512	534	*	5.84535	5.84535	Promoter	1	310981	314992	4012	2	C53D5.6	0	4	0
I	341190	341551	362	*	4.99065	4.99065	Distal Intergenic	1	347465	348361	897	1	Y48G1A.2	-5914	3	5914
I	360597	361070	474	*	1.91857	1.91857	Exon (R119.1/R119.1, exon 5 of 8)	1	357239	363904	6666	2	R119.1	2834	0	2834
I	378440	379821	1382	*	9.80027	9.8075	Promoter	1	373350	379078	5729	2	R119.3	0	7	0
I	381224	381933	710	*	9.25432	9.30212	Promoter	1	377478	381907	4430	2	R119.4	0	7	0
I	382243	382846	604	*	5.65779	5.75912	Promoter	1	382836	388850	6015	1	R119.6	0	3	0
I	395099	395608	510	*	5.7996	5.7996	Distal Intergenic	1	388510	394418	5909	2	R119.5	-681	3	681
I	397568	398483	916	*	16.5598	16.5598	Distal Intergenic	1	398894	412513	13620	1	Y50C1A.1	-411	9	411
I	426757	427080	324	*	1.9984	1.9984	Distal Intergenic	1	420925	423721	2797	1	C07F11.2	5832	0	5832
I	428966	429603	638	*	9.38821	9.38821	Distal Intergenic	1	420925	423721	2797	1	C07F11.2	8041	7	8041
I	433354	433987	634	*	13.3135	13.3135	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-10015	9	10015
I	438008	438307	300	*	1	1	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-5695	0	5695
I	441651	442068	418	*	3.94033	3.94041	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-1934	2	1934
I	443039	443454	416	*	2.97246	2.97258	Distal Intergenic	1	444002	461610	17609	1	C07F11.1	-548	1	548
I	484331	484994	664	*	3.75076	3.75076	Exon (W04C9.6/W04C9.6, exon 7 of 10)	1	482482	487993	5512	2	W04C9.6	2999	1	2999
I	491636	492029	394	*	2.9814	2.9814	Exon (W04C9.1/W04C9.1, exon 4 of 10)	1	489987	496157	6171	1	W04C9.1	1649	1	1649
I	509219	509600	382	*	3.98386	3.98386	Exon (Y65B4BL.7/Y65B4BL.7, exon 3 of 4)	1	508853	510840	1988	2	Y65B4BL.7	1240	2	1240
I	516575	517196	622	*	9.5959	9.59615	Promoter	1	511018	516459	5442	2	Y65B4BL.5	-116	7	116
I	517931	518968	1038	*	11.9423	11.9424	Distal Intergenic	1	511018	516459	5442	2	Y65B4BL.5	-1472	8	1472
I	521248	521849	602	*	7.6961	7.6961	Promoter	1	520116	521557	1442	2	Y65B4BL.6	0	5	0
I	524372	524979	608	*	12.6269	12.6269	Distal Intergenic	1	526051	526142	92	2	Y65B4BL.8	1163	8	1163
I	526843	528282	1440	*	10.7768	10.8683	Distal Intergenic	1	526051	526142	92	2	Y65B4BL.8	-701	8	701
I	529546	531065	1520	*	13.1658	13.4295	Promoter	1	530569	532855	2287	1	Y65B4BL.1	0	9	0
I	536372	537213	842	*	11.8938	11.8938	Promoter	1	536807	536934	128	2	Y65B4BR.10	0	8	0
I	542151	542562	412	*	2.97099	2.97099	3' UTR	1	537125	542200	5076	1	Y65B4BR.4	5026	1	5026
I	545238	545921	684	*	7.44287	7.44287	Distal Intergenic	1	550711	556685	5975	1	Y65B4BR.3	-4790	5	4790
I	547030	547399	370	*	2.98962	2.98963	Distal Intergenic	1	550711	556685	5975	1	Y65B4BR.3	-3312	1	3312
I	549054	549647	594	*	3.84205	3.84205	Distal Intergenic	1	550711	556685	5975	1	Y65B4BR.3	-1064	1	1064
I	555217	555992	776	*	7.98351	7.9836	Exon (Y65B4BR.3/Y65B4BR.3, exon 7 of 9)	1	557434	561674	4241	1	Y65B4BR.2	-1442	6	1442
I	556765	557466	702	*	3.58994	3.59019	Promoter	1	557434	561674	4241	1	Y65B4BR.2	0	1	0
I	562877	563288	412	*	2.96921	2.96921	Promoter	1	562739	565184	2446	1	Y65B4BR.1	138	1	138
I	573957	575518	1562	*	17.1936	17.2045	Promoter	1	572180	575122	2943	2	Y65B4BR.6	0	9	0
I	606537	606912	376	*	1.98443	1.98443	Exon (F56A6.2/F56A6.2, exon 2 of 30)	1	585823	607574	21752	2	F56A6.2	662	0	662
I	663412	663893	482	*	4.88954	4.88954	Promoter	1	659093	663597	4505	2	Y65B4A.8	0	3	0
I	703076	703545	470	*	4.88916	4.88916	Exon (Y18H1A.3/Y18H1A.3, exon 9 of 11)	1	694979	698330	3352	2	Y18H1A.2	-4746	3	4746
I	716577	717086	510	*	8.79262	8.79262	Distal Intergenic	1	700277	715853	15577	2	Y18H1A.3	-724	6	724
I	719760	720203	444	*	9.86524	9.86524	Promoter	1	720014	731085	11072	1	Y18H1A.6	0	7	0
I	737285	737584	300	*	1	1	Distal Intergenic	1	731983	736555	4573	2	Y18H1A.15	-730	0	730
I	756620	757669	1050	*	8.8332	8.8332	Promoter	1	757539	757621	83	1	Y18H1A.16	0	6	0
I	763147	763906	760	*	12.5481	12.5481	Promoter	1	763628	770723	7096	1	T06A4.3	0	8	0
I	775101	775638	538	*	2.87399	2.87399	Exon (T06A4.1b/T06A4.1, exon 9 of 10)	1	774442	774587	146	2	T06A4.4	-514	0	514
I	796427	796922	496	*	2.9079	2.9079	Promoter	1	797000	797298	299	2	Y73A3A.1	376	0	376
I	798252	798585	334	*	2.99722	2.99722	Distal Intergenic	1	797000	797298	299	2	Y73A3A.1	-954	1	954
I	801888	802187	300	*	1	1	Promoter	1	801558	801701	144	2	Y73A3A.2	-187	0	187
I	814313	814786	474	*	1.91857	1.91857	Intron (ZC123.3/ZC123.3, intron 4 of 17)	1	815979	816029	51	1	ZC123.5	-1193	0	1193
I	816007	816616	610	*	8.5935	8.5935	Promoter	1	816039	816309	271	1	ZC123.9	0	6	0
I	819581	819970	390	*	2.98293	2.98293	Intron (ZC123.3/ZC123.3, intron 5 of 17)	1	816039	816309	271	1	ZC123.9	3542	1	3542
I	826052	826719	668	*	14.9833	14.9833	Intron (ZC123.3/ZC123.3, intron 10 of 17)	1	834419	834468	50	1	ZC123.6	-7700	9	7700
I	829266	829645	380	*	3.98812	3.98812	Intron (ZC123.3/ZC123.3, intron 12 of 17)	1	834419	834468	50	1	ZC123.6	-4774	2	4774
I	834190	835077	888	*	9.35583	9.35585	Promoter	1	834419	834468	50	1	ZC123.6	0	7	0
I	835930	836443	514	*	6.80508	6.80566	Distal Intergenic	1	834419	834468	50	1	ZC123.6	1511	5	1511
I	840281	840986	706	*	7.3135	7.3135	Exon (ZC123.1/ZC123.1, exon 5 of 7)	1	837999	841750	3752	1	ZC123.1	2282	5	2282
I	851659	852924	1266	*	17.879	17.879	Distal Intergenic	1	853454	854134	681	1	Y95B8A.8	-530	9	530
I	881159	882090	932	*	9.19693	9.20271	Exon (Y95B8A.10a/Y95B8A.10, exon 2 of 10)	1	873484	882716	9233	2	Y95B8A.10	626	7	626
I	882544	883385	842	*	12.7885	12.7952	Promoter	1	873484	882716	9233	2	Y95B8A.10	0	9	0
I	920358	920817	460	*	5.95591	5.95591	Intron (Y95B8A.12d/Y95B8A.12, intron 1 of 10)	1	916171	916320	150	1	Y95B8A.16	4187	4	4187
