seqnames	start	end	width	strand	tvalue	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	group	absDistToTSS
1	308280	308645	366	*	4.98695	4.98695	Distal Intergenic	1	329306	329470	165	2	ENSXETG00000037036	20825	5	20825
1	525028	525377	350	*	2.99466	2.99466	Distal Intergenic	1	587273	612979	25707	1	ENSXETG00000002418	-61896	3	61896
1	627083	627406	324	*	2.99891	3.02144	Distal Intergenic	1	620366	621573	1208	1	ENSXETG00000039580	6717	3	6717
1	628046	628367	322	*	3.99872	4.01614	Distal Intergenic	1	620366	621573	1208	1	ENSXETG00000039580	7680	4	7680
1	629254	629577	324	*	3.99829	3.99954	Distal Intergenic	1	620366	621573	1208	1	ENSXETG00000039580	8888	4	8888
1	749012	749463	452	*	1.93684	1.93684	Distal Intergenic	1	708995	709161	167	2	ENSXETG00000040274	-39851	1	39851
1	1275314	1276067	754	*	7.35295	7.35295	Distal Intergenic	1	708995	709161	167	2	ENSXETG00000040274	-566153	7	566153
1	1375186	1375485	300	*	2	2	Distal Intergenic	1	708995	709161	167	2	ENSXETG00000040274	-666025	2	666025
1	1656378	1656703	326	*	3.99858	3.99858	Distal Intergenic	1	2179832	2195287	15456	1	ENSXETG00000033450	-523129	4	523129
1	1737298	1737793	496	*	5.82999	5.82999	Distal Intergenic	1	2179832	2195287	15456	1	ENSXETG00000033450	-442039	5	442039
1	1955195	1955554	360	*	4.99063	4.99063	Distal Intergenic	1	2179832	2195287	15456	1	ENSXETG00000033450	-224278	5	224278
1	2479657	2480406	750	*	4.69175	4.69175	Distal Intergenic	1	2189758	2190661	904	2	ENSXETG00000037881	-288996	4	288996
1	2854241	2854648	408	*	4.96405	4.96405	Distal Intergenic	1	3201002	4109192	908191	1	ENSXETG00000040099	-346354	5	346354
1	2998299	2998678	380	*	6.98122	6.98122	Distal Intergenic	1	3201002	4109192	908191	1	ENSXETG00000040099	-202324	7	202324
1	3723049	3723388	340	*	1.99556	1.99556	Intron (ENSXETT00000060370/ENSXETG00000040099, intron 7 of 24)	1	3694236	3695801	1566	2	ENSXETG00000023958	-27248	1	27248
1	4195308	4195613	306	*	1.9999	1.9999	Distal Intergenic	1	3694236	3695801	1566	2	ENSXETG00000023958	-499507	2	499507
1	4547183	4547532	350	*	2.994	2.994	Distal Intergenic	1	4854173	4871331	17159	2	ENSXETG00000001690	323799	3	323799
1	5081678	5082327	650	*	8.24192	8.24192	Distal Intergenic	1	5089262	5089558	297	1	ENSXETG00000041101	-6935	7	6935
1	5635964	5636359	396	*	6.96876	6.96876	Promoter (<=1kb)	1	5560406	5635178	74773	2	ENSXETG00000010368	-786	6	786
1	5967641	5968016	376	*	3.98429	3.98429	Distal Intergenic	1	6056759	6057322	564	1	ENSXETG00000017989	-88743	4	88743
1	6144684	6145015	332	*	1.99716	1.99716	Distal Intergenic	1	6183021	6191637	8617	2	ENSXETG00000032111	46622	1	46622
1	6196714	6198157	1444	*	29.2513	29.4255	Promoter (<=1kb)	1	6197179	6264663	67485	1	ENSXETG00000017982	0	9	0
1	6454649	6454948	300	*	1	1	Distal Intergenic	1	6386522	6432783	46262	2	ENSXETG00000017977	-21866	0	21866
1	6467657	6468052	396	*	2.9797	2.9797	Distal Intergenic	1	6386522	6432783	46262	2	ENSXETG00000017977	-34874	2	34874
1	6719328	6719717	390	*	3.96959	3.96959	Distal Intergenic	1	6386522	6432783	46262	2	ENSXETG00000017977	-286545	4	286545
1	7352720	7353097	378	*	2.98615	2.98615	Intron (ENSXETT00000057057/ENSXETG00000004362, intron 1 of 8)	1	7239809	7452001	212193	1	ENSXETG00000004362	112911	2	112911
1	7364450	7364841	392	*	3.98384	3.98384	Intron (ENSXETT00000057057/ENSXETG00000004362, intron 1 of 8)	1	7239809	7452001	212193	1	ENSXETG00000004362	124641	4	124641
1	7523068	7523403	336	*	3.99475	3.99475	Intron (ENSXETT00000075437/ENSXETG00000004357, intron 12 of 28)	1	7533623	7534722	1100	1	ENSXETG00000036872	-10220	4	10220
1	7562499	7563334	836	*	12.7799	12.7799	Promoter (<=1kb)	1	7483448	7562631	79184	2	ENSXETG00000004357	0	9	0
1	7605380	7606219	840	*	12.8643	12.8643	Promoter (<=1kb)	1	7605044	7666223	61180	1	ENSXETG00000004348	336	9	336
1	7762520	7763673	1154	*	39.4584	39.46	Promoter (<=1kb)	1	7762487	7834886	72400	1	ENSXETG00000014645	33	9	33
1	8038444	8039895	1452	*	32.4333	32.4333	Promoter (<=1kb)	1	8038579	8051204	12626	1	ENSXETG00000025676	0	9	0
1	8158796	8159195	400	*	5.98009	5.98009	Promoter (<=1kb)	1	8159068	8167052	7985	1	ENSXETG00000021530	0	6	0
1	8308799	8309118	320	*	1.99899	1.99899	Distal Intergenic	1	8251055	8297487	46433	2	ENSXETG00000039952	-11312	1	11312
1	8332378	8332691	314	*	1.99946	1.99946	Distal Intergenic	1	8342302	8347549	5248	1	ENSXETG00000021541	-9611	1	9611
1	8334349	8334706	358	*	4.99005	4.99005	Distal Intergenic	1	8342302	8347549	5248	1	ENSXETG00000021541	-7596	5	7596
1	8339377	8339816	440	*	7.96441	7.96441	Distal Intergenic	1	8342302	8347549	5248	1	ENSXETG00000021541	-2486	7	2486
1	8354639	8355296	658	*	8.65141	8.65141	Promoter (<=1kb)	1	8354241	8493691	139451	1	ENSXETG00000021542	398	7	398
1	8389030	8389335	306	*	2.99991	2.99991	Intron (ENSXETT00000074979/ENSXETG00000021542, intron 7 of 22)	1	8354241	8493691	139451	1	ENSXETG00000021542	34789	3	34789
1	8551655	8552532	878	*	2.71499	2.71499	Distal Intergenic	1	8565197	8586920	21724	1	ENSXETG00000021546	-12665	2	12665
1	8631934	8632345	412	*	6.9518	6.9518	Distal Intergenic	1	8565197	8586920	21724	1	ENSXETG00000021546	66737	6	66737
1	9300711	9301028	318	*	1.99935	2.00251	Distal Intergenic	1	9267299	9292051	24753	2	ENSXETG00000015780	-8660	2	8660
1	9301811	9302586	776	*	16.1578	16.1579	Distal Intergenic	1	9267299	9292051	24753	2	ENSXETG00000015780	-9760	9	9760
1	9339893	9340232	340	*	1.99556	1.99556	Distal Intergenic	1	9355499	9368839	13341	2	ENSXETG00000012740	28607	1	28607
